"What'd I Say"	《我剛說啥》
"Heartbreak Hotel"	《傷心旅館》
girl's name.	女孩的名字。
great investment.	划算的投資。
a spectator sport.	純看戲的運動。
a mystery to me.	對我來說是個謎。
3Richard Nixon was the _____ President of the United States.	3尼克森是美國第____任總統。\n\n(尼克森是美國第____任總統。)
funniest	最好笑的
thirty-seventh	第三十七任
first Negro	首位黑人
How could you play for %d hour%s, %d minute%s and %d second%s and only score %d point%s?!	你都花了 %d 小時 %d 分 %d 秒了，才賺 %d 點？！你到底在幹嘛啦？！
You've been playing this game for %d minute%s and %d second%s and you've only scored %d point%s?!	你玩了 %d 分 %d 秒，才賺 %d 點？！也太廢了吧？！
You've been playing this game for %d minute%s and %d second%s and you haven't scored a single point?	你玩了 %d 分 %d 秒，一分都沒賺到？你是來亂的嗎？
Get a life!	去過點正常生活啦你！
You might try using %s on yourself.	你可以試試把 %s 用在自己身上。
Click the OK button to close this window.	按下「確定」按鈕即可關閉這個視窗。
Your wallet is mostly empty since you stuck all your money into this machine!	你的錢包快被你榨乾了，錢全塞進這台機器裡了！
Your wallet contains some wrinkled business cards, lots of notes, some credit cards (which won't work in this game), and $%d.00 in cash.	你的錢包裡有幾張皺巴巴的名片、一堆碎紙條、幾張在這遊戲裡沒用的信用卡，還有 $%d.00 現金。
You reach in your wallet and grab the...	你伸手進錢包，掏出了…
What a shame! Not one single business in Lost Wages accepts credit cards from the First National Bank of Iraq.	真丟臉！失樂城沒有一家店，肯收伊拉克國家銀行的卡。
The only business card you have reads, "Sierra On-Line, Inc. (209) 683-8989"	你唯一的名片上寫著：「Sierra On-Line, Inc. (209) 683-8989」
"Remember to buy more Al Lowe games!"	「記得多買點 Al Lowe 的遊戲喔！」
Gee, a genuine BowlX!  At least the time is accurate -- it's %02d:%02d.	哇塞，正牌 BowlX 誒！至少時間還準——現在是 %02d:%02d。
You press the button on the remote control and...	你按下遙控器上的按鈕，然後…
...nothing happens.	…什麼事都沒發生。
The passcard reads:  "Lost Wages Disco  Admit One Member and Guest  Remember: every Monday is Ladies Night!"	通行證上寫著：「失樂城迪斯可　准一位會員及嘉賓入場　切記：每週一是女士之夜！」
Well, well. It looks like this month's issue is filled with intelligent, literary articles laden with redeeming social value. For example, here's an article about how professional window washers secure themselves to the sides of tall buildings with a rope tied around their waist...	嗯哼，這期雜誌看起來全是有深度、有文學氣息、造福社會的好文章。舉個例，有篇在講專業洗窗工怎麼用一條繩子綁著腰，吊在大樓外牆工作…
Nah! Who wants to read that crap? You quickly flip through the pages until you discover...	呸！誰要看那種鬼東西？你迅速翻頁，直到你發現…
Whoaaah! Nice centerfold this month!!	哇嗚！這期的中間拉頁正點喔！！
No need to pay the breath spray, it's just doing its job.	口氣噴霧不用付錢啦，它只是在做自己的工作。
The watch doesn't need your money.	手錶不需要你的錢。
