"What'd I Say"	《我要說什麼》
"Heartbreak Hotel"	《心碎旅館》
girl's name.	女孩名字。
great investment.	絕佳投資。
a spectator sport.	觀賞性運動。
a mystery to me.	對我來說是謎。
3Richard Nixon was the _____ President of the United States.	3理查德·尼克松是美國的____總統。\n\n(Richard Nixon was the _____ President of the United States.)
funniest	最有趣的
thirty-seventh	第三十七
first Negro	第一位黑人
How could you play for %d hour%s, %d minute%s and %d second%s and only score %d point%s?!	你花了 %d 小時 %d 分鐘 %d 秒竟然只賺 %d 點？！
You've been playing this game for %d minute%s and %d second%s and you've only scored %d point%s?!	你玩了 %d 分鐘 %d 秒就才賺 %d 點？！
You've been playing this game for %d minute%s and %d second%s and you haven't scored a single point?	你玩了 %d 分鐘 %d 秒一分都沒賺？
Get a life!	去過生活吧！
You might try using %s on yourself.	你可以對著自己用 %s 看看。
Click the OK button to close this window.	按 OK 按鈕關掉這個視窗。
Your wallet is mostly empty since you stuck all your money into this machine!	你的錢包空蕩蕩的，因為你把所有的錢都塞進這台機器了！
Your wallet contains some wrinkled business cards, lots of notes, some credit cards (which won't work in this game), and $%d.00 in cash.	你的錢包裡有一些皺巴巴的名片、一堆紙條、幾張信用卡（在遊戲裡沒用），和 $%d.00 現金。
You reach in your wallet and grab the...	你掏出錢包抓了…
What a shame! Not one single business in Lost Wages accepts credit cards from the First National Bank of Iraq.	真丟人！Lost Wages 沒有任何生意接受伊拉克第一銀行的信用卡。
The only business card you have reads, "Sierra On-Line, Inc. (209) 683-8989"	你唯一的名片上寫著「Sierra On-Line, Inc. (209) 683-8989」
"Remember to buy more Al Lowe games!"	「記得買更多艾爾·洛的遊戲！」
Gee, a genuine BowlX!  At least the time is accurate -- it's %02d:%02d.	天啊，真正的 BowlX！至少時間對——現在是 %02d:%02d。
You press the button on the remote control and...	你按下遙控器的按鈕，然後...
...nothing happens.	...什麼都沒發生。
The passcard reads:  "Lost Wages Disco  Admit One Member and Guest  Remember: every Monday is Ladies Night!"	通行證上寫著：「Lost Wages Disco  一位會員和嘉賓通行  記住：每個星期一是女士之夜！」
Well, well. It looks like this month's issue is filled with intelligent, literary articles laden with redeeming social value. For example, here's an article about how professional window washers secure themselves to the sides of tall buildings with a rope tied around their waist...	嗯呃，這月號看起來全是有內涵又有文采的文章，滿是社會價值。舉例來說，有篇文章講專業洗窗工怎麼用繩子綁腰部固定在大樓外牆上…
Nah! Who wants to read that crap? You quickly flip through the pages until you discover...	呸！誰想讀那爛玩意？你快速翻著頁面直到發現…
Whoaaah! Nice centerfold this month!!	哇嗚！這月的中頁好棒！！
No need to pay the breath spray, it's just doing its job.	不用付那個除臭噴劑的錢，它只是在做工作。
The watch doesn't need your money.	手錶不需要你的錢。
You've already paid for the apple once--and a princely sum, at that.	你已經付過那個蘋果的錢了——而且是筆鉅款。
You show your genuine vinyl-style wallet to the ring, but it doesn't respond.	你把真皮人造皮錢包秀給戒指瞧，但它沒半點反應。
Seeking that "leatherette" taste, you foolishly dip your wallet in the whiskey.	為了嚐那「人造皮」的味道，你蠢蛋似地把錢包泡進威士忌。
The remote control has no use for your wallet.	遙控器對你的錢包沒轍。
You offer to pay Rose, but it humbly declines.	你提議用錢包打點玫瑰，但它謙虛地拒絕了。
No, no, no! That's not what lubbers are for!	不行不行不行！房間不是拿來這樣用的啦！
Your wallet won't fit in the candy box.	你的錢包塞不進糖果盒。
The disco pass is already paid for.	迪斯可通行證已經付過錢了。
The pocket knife seems unimpressed with your wallet.	小刀對你的錢包不感興趣。
You foolishly dip your wallet into the wine.	你蠢蛋似地把錢包泡進葡萄酒裡。
The girls in the magazine are mightily impressed with your manly, bulging wallet.	雜誌上的女孩們被你那鼓鼓的男人味錢包迷得不行。
There's no need to put the wallet on the hammer.	沒必要把錢包放在錘子上。
Try as you might, you can't stuff the wallet into the pill container.	再怎麼努力，你也塞不進這藥瓶。
You show the wallet to the ribbon, but (strange but true) it doesn't respond.	你把錢包秀給絲帶瞧，但（奇怪但真的）它沒反應。
You place the graffiti in your wallet (but it still shows up here!).	你把塗鴉放進錢包（但它還是會出現在這裡！）。
Don't waste precious breath spray on your wallet.	別浪費珍貴的口氣噴霧在錢包上。
Yep. It's your breath spray.	沒錯。這是你的口氣噴霧。
A little breath spray makes even the cheapest watch shine like gold (plate).	一點口氣噴霧就能讓最廉價的手錶閃閃生光（鍍金）。
The apple was previously well-sprayed with an assortment of interesting chemical compounds.	蘋果之前已經被各種有趣的化學物質噴得透徹。
That ought to kill the taste of Lefty's sink!	那應該能掩蓋左仔水槽的臭味！
No amount of breath spray will help the taste of this stuff.	再多的口氣噴霧也救不了這東西的味道。
The remote control's keys are sticky enough already.	遙控器的按鈕已經夠黏的了。
The rose smells good enough already.	玫瑰花已經夠香的了。
Your breath spray will clash with that natural minty taste of latex.	你的口氣噴霧會跟那天然薄膜薄荷味起衝突。
The candy smells great just the way it is.	糖果本身的香味已經棒了。
Perhaps you should use the breath spray AT the disco instead!	也許你應該在迪斯可現場才用口氣噴霧！
It's pointless to freshen your knife's breath, let alone its width!	用口氣噴霧給小刀「清新」完全沒意義，更別提它的寬度了！
Mmm, Chablis with a hint of wintergreen! You may have something there.	嗯，夏布利加點冬綠香氣！你這想法不賴。
Better not, the pages are sticky enough already.	別這樣，紙頁已經夠黏的了。
Now the hammer is minty fresh.	現在錘子聞起來有薄荷香。
That would ruin the wonderful medicinal flavor of the pills.	那會毀掉藥丸那美妙的藥味。
Yeah, great idea.	是啊，棒透了。
You'd better not; you don't want to smear your writing.	你最好別這樣；你不想把自己的字跡弄髒。
Your watch won't fit in your already bulging wallet.	你的手錶塞不進你已經滿脹的錢包。
Your breath spray couldn't care less what time it is.	你的口氣噴霧根本不在乎現在幾點。
Pretty clever! "Watch the apple!!"	真聰明！"看著蘋果！"
