...maybe with good behavior?	……搞不好，表現良好還能假釋出獄？
Next time, Larry, be a little more careful with the equipment!	Larry，下次對機器溫柔一點啦，別又用蠻力！
Congratulations, Larry! You've broken the house limit.	恭喜啊，Larry！你把賭場的天花板都掀了！
Please wait until this hand is over.	請等這局結束。
You bet zero dollars, receive zero cards, and win zero dollars and zero cents.	你押零元、拿零張牌、贏零元零角——穩賺不賠的空氣局。
You can play all night like this!	照這樣玩，你可以耗一整夜還原地踏步！
You can't bet more than you have.	你身上沒那麼多錢，別亂下注啦。
You have Blackjack!	你拿到二十一點啦！
Unfortunately, so does the dealer, so this hand is a push.	不巧莊家也是二十一點，這局算平手。
The dealer has Blackjack!	莊家二十一點！
Your first hand has Blackjack!	你的第一手是二十一點！
Your split hand has Blackjack!	你分牌那手也是二十一點！
First, click on Deal to start a new hand.	先點一下「發牌」開始新的一局。
You busted.	你爆啦。
Your first hand busted.	你的第一手爆了。
You have six cards whose total is not over 21!	你湊了六張牌，總點數還沒超過二十一——過關！
Your split hand busted!	你分牌那手爆啦！
Your split hand has six cards!	你分牌那手湊滿六張牌了！
The dealer busted!	莊家爆啦！
Your first hand wins!	你的第一手贏啦！
Your split hand wins!	你分牌那手贏啦！
Your first hand is a push.	你的第一手是平手。
The dealer's hand beats your first hand.	莊家的牌壓過你的第一手。
Your first hand loses.	你的第一手輸了。
Your split hand is a push.	你分牌那手是平手。
The dealer beats your split hand.	莊家壓過你分牌那手。
Your split hand loses.	你分牌那手輸了。
The dealer wins!	莊家贏啦！
You must wait until this hand is over.	你得等這局結束才行。
This machine has a $10,000.00 limit.	這台機器上限是一萬美金整。
You don't have any more money!	你沒錢啦！
You must bet more than that!	你這樣下注太凍霜了，加碼啦！
Please bet an even number of dollars (2, 4, 6, etc.). This machine doesn't pay half-dollars.	請下偶數金額（2、4、6…）。這台機器不找你零頭。
Wait until this hand is over.	等這局結束。
The minimum bet in this machine is $%d.00.	這台機器最低下注是 $%d.00。
You're a little short of funds at the moment, Larry.	Larry，你現在手頭有點緊喔。
There's a limit of one split per screen!	一個畫面只能分牌一次！
You may only double when your hand contains two cards totaling 10 or 11.	只有手牌兩張加起來是十或十一點時才能加倍。
You surrender your cards and are refunded half of your bet.	你棄牌投降，退回一半賭注。
It's too late now!	現在說什麼都太晚啦！
This machine has a $10.00 minimum bet and a $10,000.00 limit.  Bets must be a multiple of $2.00.  Dealer must hit 16, and must stand on 17, unless he has an ace.  Blackjack pays 3 to 2 odds.  Any six cards under 22 wins.	這台機器最低下注 $10.00，上限 $10,000.00。下注必須是 $2.00 的倍數。莊家補牌到十六點為止，十七點就得停牌，除非手上有 Ace。二十一點賠率 3 賠 2。任何湊滿六張牌沒超過二十二點就算贏。
Insurance bets are offered whenever the dealer shows an ace. They are half your bet, and pay 2 to 1 odds.  You may split a pair or surrender whenever you have only two cards.  You may double down if your cards total 10 or 11 points.	莊家亮出 Ace 時會提供保險下注。保險金額是你下注的一半，賠率 2 賠 1。只要手上還是兩張牌，隨時都能分牌或投降。手牌加起來十或十一點的話可以加倍。
This machine only contains $10,000.00; trust us, we'll mail you the rest.	這台機器最多只有一萬美金；剩下的，相信我們，用寄的給你。
You pocket your $%d.00 from the tray and wish you had won more.	你把 $%d.00 從托盤裡摸走塞進口袋，心裡想著要是贏更多就好了。
Do you want insurance?	要買保險嗎？
The numbers at the top of the slot machine indicate the size of your current bet and the total amount of credit you have in the machine.	吃角子老虎上方的數字，顯示你目前的下注金額，以及機器裡剩下的總額度。
For help, just Look at the various buttons.	需要說明的話，「看」一下各個按鈕就知道了。
"Come on, dammit, loosen up or I'll find another machine that will!"	「來嘛，該死的，鬆一點啦，不然老子找台肯鬆的！」
Careful or you'll jam the coin slot!	小心點，別把投幣孔塞爆了！
You carefully slip the pocketknife into that special little hole in the back of every slot machine, twist the odds screw, and hope no one saw you.	你小心翼翼把折疊刀伸進每台吃角子老虎背後那個『特別小洞』，轉動作弊螺絲，祈禱沒人看到。
Now you'll SURELY get lucky, Larry!	這下你穩『上』了，Larry！
Wildly wielding your left-handed hammer, you smash the slot machine into a zillion pieces. "Why, of course no one here at the casino will care," you think.	你抄起左手那把槌子瘋狂開幹，把吃角子老虎砸成滿地碎片。「哼，賭場才不會在意咧，」你心想。
(You think wrong!)	（大錯特錯！）
You animal!	你這頭野獸！
That's one way to "beat the slots," Larry! Next time, be gentle with her!	這就是所謂『修理老虎機』的一種方法，Larry！下次對她溫柔一點啦！
Congratulations, Larry! You have broken the house limit.	恭喜啊，Larry！你把賭場的天花板掀了。
You insert zero dollars, and pretend to push the button.	你投進零元，假裝按了一下按鈕。
You win zero dollars!	你贏了整整零元！
(You are so easily amused!)	（你也太容易自嗨了吧！）
This machine's minimum bet is $%d.00.	這台機器最低下注是 $%d.00。
You can't bet less than $%d.00.	你下注不能少於 $%d.00。
"Apples. Apples! APPLES for sale!!"	「蘋果喔～新鮮蘋果！蘋果賣啦！！」
"Hello, sir," says the skinny young man in the barrel. "Would you help out a poor unfortunate by purchasing an apple? The price is reasonable: only $%d.00."	「您好，先生，」桶子裡那個瘦巴巴的年輕人說。「行行好跟我買顆蘋果吧？價錢公道，只要 $%d.00。」
"Hey, come back!" says the man. "Are you sure you don't want to buy an apple?"	「喂，回來啦！」那人喊道。「你真的不買顆蘋果嗎？」
"I presume that means `No,'" he says pleasantly. "Very well then, perhaps some other time."	「我猜那意思是『不要』囉，」他和顏悅色地說。「沒關係，那就下次吧。」
"Wow! Thanks a lot, Mister!" shouts the poor misfortunate, "I'll gladly trade you an apple for a diamond ring!"	「哇！太感謝了，先生！」那可憐人大喊，「我很樂意拿一顆蘋果跟你換這只鑽戒！」
