dirty magazines.	十八禁雜誌。
goods from South Africa.	南非進口商品。
4James Brown is often referred to as	4詹姆斯·布朗常被封為\n\n(James Brown is often referred to as)
a great athlete.	厲害的運動員。
the Godfather of Soul.	靈魂樂教父。
3Who lost a daughter but gained a "meathead?"	3誰的女兒嫁掉了，換來一個「阿呆女婿」？\n\n(Who lost a daughter but gained a "meathead?")
George Jefferson	喬治·傑佛遜
Archie Bunker	阿奇·邦克
Ted Knight	泰德·奈特
4Which U. S. Secretary of State was born in Germany?	4哪位美國國務卿是在德國出生的？\n\n(Which U. S. Secretary of State was born in Germany?)
Dean Rusk	狄恩·魯斯克
William Rogers	威廉·羅傑斯
George Schultz	喬治·舒茲
Henry Kissinger	亨利·季辛吉
2Who was the inventive genius behind the Apple computer?	2誰是蘋果電腦背後的天才怪咖？\n\n(Who was the inventive genius behind the Apple computer?)
Bill Gates	比爾·蓋茲
Steve Wozniak	史蒂夫·沃茲尼克
Ken Williams	肯·威廉斯
Steve Russell	史蒂夫·羅素
3"Close Encounters of the Third Kind" is about	3「第三類接觸」在講的是
politics in third-world countries.	第三世界國家的政治。
homo- and heterosexual sex.	同性戀和異性戀的性愛。
creatures from outer space.	外星生物。
a bicycle race across Alaska.	橫越阿拉斯加的自行車賽。
Ittsy Bittsy Men.	超迷你男人。
International Business Machines.	國際商業機器公司。
Italian Branch of the Mafia.	義大利黑手黨分部。
Iranian Broom Makers.	伊朗掃帚製造商。
4Who was NOT in the movie "Easy Rider?"	4誰沒演過電影「逍遙騎士」？\n\n(Who was NOT in the movie "Easy Rider?")
Peter Fonda	彼得·方達
Dennis Hopper	丹尼斯·霍普
Karen Black	凱倫·布萊克
Karen Carpenter	凱倫·卡本特
3Las Vegas is famous for	3拉斯維加斯以什麼聞名？\n\n(Las Vegas is famous for)
being the capital of Arizona.	是亞利桑那州的首府。
2The term "Working Girl" refers to	2「上班女郎」這個詞是指\n\n(The term "Working Girl" refers to)
a lady of negotiable virtue.	行情可議的姑娘。
an industrious woman.	勤奮的女人。
an employed female.	有工作的女性。
1Making a "Hole in One" is	1「一桿進洞」是\n\n(Making a "Hole in One" is)
every golfer's dream.	每個高球迷的夢想。
too dirty to discuss here.	太不堪入耳，這裡不能講。
something carpenters do.	木匠的拿手活。
best done with scissors.	最好用剪刀來搞定。
4My boss is	4我老闆是\n\n(My boss is)
a total jerk.	有夠機車的傢伙。
an absolute total jerk.	機車到不行的傢伙。
responsible for my paycheck.	管我薪水的人。
0How many programmers does it take to screw in a light bulb?	0要幾個工程師才能把燈泡鎖上？\n\n(How many programmers does it take to screw in a light bulb?)
None, it's a hardware problem.	不用，那是硬體的問題。
None, programmers can't fit in light bulbs.	不用，工程師塞不進燈泡裡。
None so far, but they'll get to it Real Soon Now.	目前還沒，但他們「馬上」就會處理。
better than a floppy.	比軟碟好用。
embarrassing to have at the office.	帶去辦公室會很糗。
a state-of-the-art frisbee.	最先進的飛盤。
what happens when you leave your floppy out in the sun too long.	軟碟曬太陽曬過頭的下場。
2In some personal ads, TV stands for	2在某些徵友廣告裡，TV代表\n\n(In some personal ads, TV stands for)
trans-venereal.	跨性病。
terre-voracic.	嗜土成癮。
4Lucy and Ricky, Fred and	4露西和瑞奇，佛瑞德和\n\n(Lucy and Ricky, Fred and)
3Mel Brooks is	3梅爾·布魯克斯是\n\n(Mel Brooks is)
Puerto Rican.	波多黎各人。
a comedian.	喜劇演員。
Catholic.	天主教徒。
3It is customary to tip about	3小費行情大概是\n\n(It is customary to tip about)
2 per cent.	百分之二。
6 per cent.	百分之六。
15 per cent.	百分之十五。
25 per cent.	百分之二十五。
1Blackjack is	1「二十一點」是\n\n(Blackjack is)
an ace and a face card.	一張 A 加一張人頭牌。
used by policemen.	警察在用的傢伙。
related to Caucasian Tom.	跟「白人湯姆」有關。
a kind of car sold only in Fresno.	只有弗雷斯諾才買得到的車。
4Canada is	4加拿大是\n\n(Canada is)
where Canadians live.	加拿大人住的地方。
north of the U. S.	美國北邊。
adjacent to the U. S.	緊鄰美國。
2Oral Roberts is	2奧羅·羅伯茲是\n\n(Oral Roberts is)
a thermometer technique.	量體溫的技巧。
an evangelist.	一位佈道家。
best done with a friend.	最好找朋友一起做。
0Richard Nixon was	0理查·尼克森是\n\n(Richard Nixon was)
an audio technician.	音響技師。
a plumber's friend.	水電工的好幫手（就是那支馬桶吸把）。
a president.	一位總統。
a cocktail.	一款雞尾酒。
a perfect bowling score.	保齡球的全倒滿分。
a large airplane.	一架大型客機。
a prime number.	一個質數。
1Whips, chains and handcuffs are	1鞭子、鎖鏈和手銬是\n\n(Whips, chains and handcuffs are)
kinky.	重口味。
used by police departments.	警察部門會用的東西。
usually in text adventures.	常出現在文字冒險遊戲裡。
only permitted in Eastern schools.	只有東方學校才准許使用。
0A Macintosh is	0麥金塔電腦是\n\n(A Macintosh is)
a kind of Apple.	蘋果公司的產品。
a kind of apple.	一種蘋果（水果的那種）。
an article of clothing.	一種雨衣。
4My parents are	4我爸媽的年紀是\n\n(My parents are)
age 10 to 25.	十到二十五歲。
age 25 to 30.	二十五到三十歲。
age 31 to 35.	三十一到三十五歲。
36 or over.	三十六歲以上。
4My favorite actor is	4我最愛的演員是\n\n(My favorite actor is)
Pia Zadora.	琵雅·扎多拉。
Fred Flintstone.	佛瑞德·佛林史東。
Jim Bakker.	吉姆·貝克。
not listed here.	都不是上面這些。
4I have hair on my	4我的體毛長在\n\n(I have hair on my)
lottsa places.	全身到處都是。
2When it's noon in California in August, in St. Louis it's	2八月加州中午時，聖路易市正是\n\n(When it's noon in California in August, in St. Louis it's)
miserable.	悶熱到快中暑。
time for a beer.	該喝啤酒的時間。
2The best "pick-up" line is:	2最讚的搭訕台詞是：\n\n(The best "pick-up" line is:)
Hey baby, what's your sign?	嘿寶貝，妳是什麼星座的？
Want to go for a ride in my Porsche?	要不要坐我的保時捷兜風？
For a fat girl, you sure don't sweat much!	身材這麼豐滿，你倒是一滴汗都不流耶！
You got any Vaseline on you?	妳身上有帶凡士林嗎？
4The "Mile-High Club" is	4「高空俱樂部」是\n\n(The "Mile-High Club" is)
a bird-watching society.	賞鳥協會。
a Denver ski club.	丹佛的滑雪俱樂部。
a bar in East L. A.	東洛杉磯的一間酒吧。
open to those who have performed aerial acrobatics inside a plane's rest room.	只限在飛機廁所裡表演過空中特技的人加入。
3My sex life is best described as	3我的性生活，最貼切的形容是\n\n(My sex life is best described as)
non-existent and non- contemplated.	不存在，想都沒想過。
what sex life?	性生活？那是什麼碗糕？
none of your business!!	關你屁事！！
a ripening tomato.	一顆快熟透的番茄。
1Elizabeth Taylor is	1伊莉莎白·泰勒是\n\n(Elizabeth Taylor is)
