...maybe with good behavior?	…也許表現良好可以減刑？
Next time, Larry, be a little more careful with the equipment!	Larry，下次溫柔一點對待機器啦！
Congratulations, Larry! You've broken the house limit.	恭喜，Larry！你破了賭場的上限！
Please wait until this hand is over.	請等這一局結束。
You bet zero dollars, receive zero cards, and win zero dollars and zero cents.	你賭零元、拿零張牌、贏零元零分。
You can play all night like this!	你可以這樣玩整晚！
You can't bet more than you have.	不能賭超過你有的錢。
You have Blackjack!	你是二十一點！
Unfortunately, so does the dealer, so this hand is a push.	不過莊家也是，所以是平手。
The dealer has Blackjack!	莊家二十一點！
Your first hand has Blackjack!	你的第一手是二十一點！
Your split hand has Blackjack!	你分開的手牌是二十一點！
First, click on Deal to start a new hand.	首先點「發牌」開始新的一局。
You busted.	你爆牌了。
Your first hand busted.	你的第一手爆牌了。
You have six cards whose total is not over 21!	你有六張牌且總和沒超過二十一！
Your split hand busted!	你分開的手牌爆牌了！
Your split hand has six cards!	你分開的手牌有六張！
The dealer busted!	莊家爆牌了！
Your first hand wins!	你的第一手贏了！
Your split hand wins!	你分開的手牌贏了！
Your first hand is a push.	你的第一手是平手。
The dealer's hand beats your first hand.	莊家的牌勝過你的第一手。
Your first hand loses.	你的第一手輸了。
Your split hand is a push.	你分開的手牌是平手。
The dealer beats your split hand.	莊家打敗你分開的手牌。
Your split hand loses.	你分開的手牌輸了。
The dealer wins!	莊家贏了！
You must wait until this hand is over.	你必須等這一局結束。
This machine has a $10,000.00 limit.	這台機器的上限是$10,000.00。
You don't have any more money!	你沒錢了！
You must bet more than that!	你的下注要更多才行！
Please bet an even number of dollars (2, 4, 6, etc.). This machine doesn't pay half-dollars.	請下注偶數美金（2、4、6等等）。這台機器不付零頭。
Wait until this hand is over.	等這一局結束。
The minimum bet in this machine is $%d.00.	這台機器的最少下注是$%d.00。
You're a little short of funds at the moment, Larry.	Larry，你現在資金有點短缺。
There's a limit of one split per screen!	每個畫面只能分一次牌！
You may only double when your hand contains two cards totaling 10 or 11.	只有當你的牌共兩張加起來是十或十一時才能加倍。
You surrender your cards and are refunded half of your bet.	你放棄牌局，退回一半的下注。
It's too late now!	現在太晚了！
This machine has a $10.00 minimum bet and a $10,000.00 limit.  Bets must be a multiple of $2.00.  Dealer must hit 16, and must stand on 17, unless he has an ace.  Blackjack pays 3 to 2 odds.  Any six cards under 22 wins.	這台機器最少下注$10.00，上限$10,000.00。下注必須是$2.00的倍數。莊家必須補牌到16點，17點必須停牌，除非他有Ace。二十一點付3比2賠率。任何六張牌加起來不超過二十二點就贏。
Insurance bets are offered whenever the dealer shows an ace. They are half your bet, and pay 2 to 1 odds.  You may split a pair or surrender whenever you have only two cards.  You may double down if your cards total 10 or 11 points.	莊家有Ace時會提供保險下注。保險下注是你的下注的一半，付2比1賠率。任何時候只要你只有兩張牌就可以分牌或放棄。如果你的牌加起來是十或十一點就可以加倍。
This machine only contains $10,000.00; trust us, we'll mail you the rest.	這台機器只有$10,000.00；相信我，剩下的我們會寄給你。
You pocket your $%d.00 from the tray and wish you had won more.	你從收錢盤掏出$%d.00放進口袋，但希望自己贏得更多。
Do you want insurance?	你要買保險嗎？
The numbers at the top of the slot machine indicate the size of your current bet and the total amount of credit you have in the machine.	老虎機上方的數字顯示你目前的下注金額和機器裡的總餘額。
For help, just Look at the various buttons.	需要說明的話就看一下各個按鈕。
"Come on, dammit, loosen up or I'll find another machine that will!"	「來啊，該死的機器，鬆一點否則老子去找別台！」
Careful or you'll jam the coin slot!	小心別卡住投幣口！
You carefully slip the pocketknife into that special little hole in the back of every slot machine, twist the odds screw, and hope no one saw you.	你小心翼翼把瑞士刀插進老虎機後面那個特殊的小孔，轉動機率螺絲，希望沒人看到。
Now you'll SURELY get lucky, Larry!	現在你絕對會走運，Larry！
Wildly wielding your left-handed hammer, you smash the slot machine into a zillion pieces. "Why, of course no one here at the casino will care," you think.	你瘋狂揮舞左手槌子砸爛老虎機成碎片。「嘿，賭場的人當然不會在乎，」你想。
(You think wrong!)	(你想錯了！)
You animal!	你這野獸！
That's one way to "beat the slots," Larry! Next time, be gentle with her!	這就是「打敗老虎機」的方法，Larry！下次溫柔一點對待她啦！
Congratulations, Larry! You have broken the house limit.	恭喜，Larry！你破了賭場的上限。
You insert zero dollars, and pretend to push the button.	你投進零美金，假裝按按鈕。
You win zero dollars!	你贏零塊錢！
(You are so easily amused!)	(你真好打發！)
This machine's minimum bet is $%d.00.	這台機器最少下注是$%d.00。
You can't bet less than $%d.00.	你的下注不能少於$%d.00。
"Apples. Apples! APPLES for sale!!"	「蘋果。蘋果！蘋果在賣啦！」
"Hello, sir," says the skinny young man in the barrel. "Would you help out a poor unfortunate by purchasing an apple? The price is reasonable: only $%d.00."	「您好，先生，」住在桶子裡的瘦削年輕人說。「您能幫幫一個窮苦人買顆蘋果嗎？價錢公道：只要$%d.00。」
"Hey, come back!" says the man. "Are you sure you don't want to buy an apple?"	「嗨，回來！」那個人喊。「你真的不要買蘋果嗎？」
"I presume that means `No,'" he says pleasantly. "Very well then, perhaps some other time."	「我猜那是『不行』的意思，」他愉快地說。「沒關係，也許改天吧。」
"Wow! Thanks a lot, Mister!" shouts the poor misfortunate, "I'll gladly trade you an apple for a diamond ring!"	「哇！謝謝啦，先生！」那倒楣鬼大喊，「我很樂意用蘋果換你的鑽戒！」
"But don't you think you might have needed this later?"	「你不覺得自己之後可能會用得到嗎？」
"You know," says the man, peering deep into his barrel, "I'm all out! But thank you for your continued support. And for the $%d.00!"	「你知道嗎，」那人低頭看著他的桶子說，「我沒貨了！但謝謝你的長期支持。還有這$%d.00！」
"Thank you, sir," says the skinny young man in the barrel. "For helping out a poor unfortunate by purchasing an apple at a reasonable $%d.00."	「感謝您，先生，」住在桶子裡的瘦削年輕人說。「感謝您這樣幫助一個窮人，以合理的$%d.00買了我的蘋果。」
"If you have any other jewelry you'd like to swap, be sure to let me know!"	「如果你還有其他珠寶想換，一定要告訴我！」
"Please call again, whenever you are in the neighborhood," says the man. And with that, he walks away into the night.	「下次來的時候別忘了再來，」那人說。說完就消失在夜色中。
"You know, I'm a little short of funds myself," you say to the man in the barrel. "Perhaps next time, ok?"	「你知道嗎，我自己也缺錢，」你跟桶子裡的人說。「下次吧，好嗎？」
He says nothing, but walks away dejectedly into the Lost Wages night.	他什麼也沒說，只是沮喪地走進Lost Wages的夜色。
Peering down inside the poor man's barrel you say, "Wow! You really did lose everything!"	你低頭往桶子裡看說，「哇！你真的什麼都輸光了！」
"Oh no, you don't!" exclaims the man. "Keep your hands out of my barrel!"	「不行！」那人尖叫。「別把手伸進我的桶子！」
Why don't you catch him next time around, Larry?	為什麼不下次再逮住他，Larry？
"No, thanks," he says, "I'm broke, not odiferous!"	「免了，」他說，「我窮，不是很臭！」
"I don't want that thing back!"	「我不想要那東西回來！」
"No, thanks, I don't drink!"	「免了，我不喝酒！」
"Sweet, but I'm busted! What do I need with a rose?"	「很甜蜜，但我窮啦！我要玫瑰幹嘛？」
"I'm selling apples, not cucumbers!"	「我在賣蘋果，不是黃瓜！」
"I can't afford to buy a drink in THAT place!"	「我買不起那間店的酒！」
"What do you think? I want to slash my wrists?"	「你以為呢？我想割腕嗎？」
"No, thanks, Mister. I deal in cash only."	「免了，先生。我只做現金生意。」
You take a swing at the apple salesman, but miss.	你對著賣蘋果的揮拳，但沒打到。
(You never were any good at hack-and-slash games!)	(你從來都不擅長砍殺遊戲！)
"Sorry," replies the apple salesman to your generous offer, "but I'm broke, not stupid!"	「對不起，」賣蘋果的人對你的大方提議回答，「但我窮，不傻！」
He's yet another poor soul who donated his everything so the shrine of Lost Wages could continue to flourish.	他是又一個傾家蕩產來供養失落城這座神廟的可憐人。
"Hey, Buddy," you joke. "How's your Pippin?"	「嘿，老兄，」你開玩笑說。「你的蘋果品種如何？」
He mutters under his breath, "(10,000 comedians out of work in this town...)"	他咕嚕著說，「(這城市有一萬個失業喜劇演員…)」
"Sorry, buddy, but this is MY night in the barrel!"	「對不起，老兄，但今晚輪到我睡桶子了！」
He smells of decomposed apple cores and fresh pork rind.	他聞起來像爛蘋果核和新鮮豬皮。
Isn't it funny how every time you reach out to touch these doors, they open?	滑稽吧，每次你伸手去碰這些門它們就自動打開？
That water sure is deep.	這水真的很深。
Use the restroom at Lefty's instead.	改用Lefty那裡的廁所吧。
The water tastes rather metallic and a little acidic.	這水有點金屬味，還有點酸。
The plant feels like someone spit apple juice on it earlier!	這盆植物摸起來像有人之前往上面吐蘋果汁！
Do you think talking to artificial plants will make them grow?	你以為跟人造植物說話它就會長大嗎？
You can't reach that sign from down here!	你從下面搆不著那個招牌！
You can't reach the lights.	你搆不著燈。
You and the sculpture have absolutely no common interests.	你和那座雕像一點共同興趣都沒有。
It feels like metal.	摸起來像金屬。
Jeez, Larry; take a cold shower or something!	天啊，Larry；去洗冷水澡或什麼的吧！
It tastes rather metallic.	嚐起來有股金屬味。
You are in the casino. There are slot machines on the right, and video blackjack machines on the left. This place is a gambler's paradise!	你來到了賭場。右邊全是老虎機，左邊是電子21點機台。這地方根本是賭徒天堂！
They appear to be having a great time. Perhaps you'd like to join them?	他們看起來玩得很開心。你想加入他們嗎？
Don't interrupt them; they're trying to win.	別打擾他們；他們在努力贏錢。
You insert your $%d into the machine and brace yourself for an invigorating round of electronic blackjack.	你把 $%d 投進去，準備來場痛快的電子21點。
Sorry, Larry. You've already made the big bucks.	抱歉，Larry。你早就發達了。
You slip all of your money into the slot machine and settle in for a few relaxing minutes with your one-armed bandit.	你把所有身家都塞進吃角子老虎，準備好好跟這個獨臂怪物廝混一陣子。
A sign off in the corner reads, "Welcome to The Lizard Lounge."	角落的牌子寫著，「歡迎光臨蜥蜴酒吧。」
It looks like a great place to be from.	看起來這是個值得來過的地方。
(You wonder where they keep the lizards.)	（你想知道他們把蜥蜴藏在哪。）
You toss the rose on the stage. It falls where you will not be able to retrieve it.	你把玫瑰扔上舞台。它掉在你拿不到的地方。
"Bravo. Bravo!" you cry.	「太棒了！太棒了！」你大喊。
"Thank you, thank you!" the comedian responds to your applause.	「謝謝！謝謝各位！」喜劇演員應著你的掌聲。
The girls' smiles beam at your applause!	那些姑娘因為你的掌聲綻放出燦爛笑容！
"Well, that's all I know, folks," the comic says. "Come back for the next show, and you can hear 'em all again!"	「各位，我就只知道這些，」喜劇演員說。「下次來，你們還能再聽一次！」"
"And, now, ladi... uh, gentleman," announces the comic, "we're proud to present the Magic portion of our act."	"現在呢，各位…呃，紳士們，」喜劇演員宣布，「我們很榮幸獻上魔術表演。」"
"Let me pick someone at random from our audience..."	「來，讓我從觀眾裡隨便抽一個...」
"How about you," he says looking directly at you. "Would you like to participate in a little experiment in telepathy?"	"你呢，」他盯著你說。「想參加個小心電感應實驗嗎？」"
(Of course he's looking at you! You're the only one here!)	（當然他盯著的是你！這兒就只有你一個人嘛！）
You're game, so you answer, "Sure."	你樂得答應，「沒問題。」
"Great! Now Paul, my drummer and musical conductor for lo these many years, will read your mind," says the comic. "Come on, Paul, show him your stuff!"	「太好了！我的鼓手兼樂隊指揮 Paul，這些年來一直跟著我，現在他要讀你的心思，」喜劇演員說。「來吧 Paul，亮出你的絕活！」
"I want you to concentrate on your billfold," Paul says. "Clear your mind, and think solely about the contents of your wallet."	「集中在你的皮夾，」Paul 說。「清空你的腦袋，只想著皮夾裡的東西。」"
Since clearing your mind is no problem for you, Larry, you do so easily.	對你 Larry 這種人，清空腦袋根本易如反掌。
"I'm getting a message... I see something..."	"我收到訊息了…我看到東西…"
"I've GOT IT!" he exclaims. "If you open your billfold you'll discover some wrinkled business cards, lots of notes, some credit cards (which won't work in this game), and exactly $%d.00 in cash!!"	「我看到了！」他大聲叫，「打開你的皮夾，裡面有皺巴巴的名片、一堆紙條、幾張信用卡（在這遊戲玩不了），還有整整 $%d.00 現金！！」
"Ladi... uh, GENTLEMAN!" shouts the comic. "PAUL THE MAGNIFICENT has done it again!!"	「各位…呃，紳士們！」喜劇演員喊。「神奇 Paul 又成功了！！」"
Just to make sure, you take out your wallet and look inside...	為了保險起見，你掏出皮夾往裡瞧…
