Another boring %s	又是無聊的 %s
The pimp seems vaguely interested in this program%s	皮條客對這個節目似乎有點興趣%s
Well, well, Larry! It appears you've finally reached the pimp's cultural level.	嗯，嗯，Larry！看來你終於達到了皮條客的文化水準。
The pimp ignores you. He's "totally engrossed" in something else right now.	皮條客不理你。他現在「完全沉浸」在別的東西上。
What? You want to pick a fight with the pimp? He's far too big, and you're far too wimpy.	什麼？你想跟皮條客打架？他太大隻，你太弱了。
"HEY! Waddayou crazy?!"	「嘿！你瘋了嗎？！」
He smells of wet fur.	他聞起來像濕漉漉的毛皮。
"If ya wanna go upstairs," he says in his scholarly voice, "ya gotta pays da price!"	「想上樓的話，」他用他那學問家的語氣說，「你得付代價！」
"$200.00, cash up front, no refunds."	「現金 $200 塊，先付，不退錢。」
(He certainly has a pleasing manner about him.)	（他確實有種令人愉悅的方式。）
There is no need to pay the pimp; he's pleasantly distracted. Help yourself!	不用付皮條客錢；他現在被討喜的東西分心了。自便！
You'd love to pay the pimp his $200.00, but you just don't have enough money.	你很想付給皮條客 $200 塊，可是你就是沒那麼多錢。
"Thanks," he growls. "Remember, no refunds!"	「謝了，」他低聲吼道，「記住，沒有退款！」
"You mus' really like that stuff, eh, boy?"	「你一定很喜歡那東西，嗯，小子？」
"Have a nice lay."	「祝你一夜愉快。」
The remote control's operation is far too sophisticated for his mental capabilities.	遙控器的操作對他的智力來說太複雜了。
Save your ring in case you find your "true love," Larry!	把戒指存著，以防你找到你的「真愛」，Larry！
You'd never be able to tie his up with that ribbon, Larry.	你絕對綁不了他的東西，Larry。
The pimp is far too big for you to attack, even using your hammer as a weapon.	就算拿著錘子，皮條客對你來說也大得無法攻擊。
(Besides, you're a lover, not a fighter!)	（何況，你是風流鬼，不是鬥士！）
The pimp is far too big for you to attack, even using that pocket knife for a weapon.	就算拿著摺刀，皮條客對你來說也大得無法攻擊。
(Besides, you're a lover, not a fighter!	（何況，你是風流鬼，不是鬥士！
The pimp isn't interested in %s. He prefers money.	皮條客對 %s 沒興趣。他只愛錢。
It is not wise to fondle a moose!	去撫摸駝鹿不是明智之舉！
Jeez, Larry! Who has the bigger antlers, you or the moose?!	老天爺，Larry！你還是駝鹿的鹿角比較大？！
"How's Rocky?" you ask.	「Rocky 怎麼樣？」你問。
(There is no reply.)	（沒有回應。）
It smells like an old moosehide--because it IS an old moose's hide!	聞起來像舊駝鹿皮—因為它就是舊駝鹿皮！
Sorry, Larry! Wrong kind of tail!	抱歉，Larry！這不是那種尾巴！
"Yeah? Wadd's da passwoid?" you say to the peephole in the door.	「是嗎？密碼是啥？」你對著門上的窺孔說。
You love playing the part of the pimp in these little fantasies of yours, don't you?	你喜歡在這些小幻想裡扮演皮條客的角色，不是嗎？
Get your mind back on the game, Larry!	把心思放回遊戲上，Larry！
The television screen is blank; much like the pimp's mind.	電視螢幕是空白的；就像皮條客的腦袋一樣。
The television set's knobs are broken off. There's no way to turn it off or on, or even change channels.	電視的旋鈕壞掉了。沒有辦法關、開或換頻道。
The remote control seems ineffectual from this angle.	從這角度遙控器好像沒用。
Nah. He's having a good time!	不，他玩得很開心！
You briefly consider stacking all the boxes into a perilous tower, then dangerously climbing up them inch by inch to reach the top of the staircase, avoiding the pimp and making your way to the hooker that waits above.	你一度考慮把所有箱子堆成一座危險的塔，然後冒著生命危險一吋吋爬上去到達樓梯頂端，避開皮條客去找上面那個妓女。
Then you remember how clumsy you really are and decide you'd rather find a casino and gamble.	後來你想起你有多笨手笨腳，決定還是去找個賭場好了。
You can't drink from these barrels; they're empty.	你喝不了這些桶子裡的東西；都是空的。
It smells of stale malt and barley.	聞起來是陳舊的麥芽和大麥味。
"Oh, John." "Oh, Marsha."  "OH, John." "OH, Marsha."  "Oh, JOHN!" "Oh, MARSHA!"  "OH, JOHN!!" "OH, MARSHA!!"	「喔，John。」「喔，Marsha。」「喔，John。」「喔，Marsha。」「喔，JOHN！」「喔，MARSHA！」「喔，JOHN！」「喔，MARSHA！」
"Hello, friend, this is your ol' buddy Tom Bidet for Motel-69. If you're driving down the highway of life towards ol' Lost Wages and Mr. Sleepy's sitting up on the dashboard throwing dust in your eyes..."	「哈囉，朋友，我是你老兄 Tom Bidet，為 Motel-69 服務。你駕駛著人生的高速公路朝著失落城邁進，而瞌睡蟲坐在儀表板上往你眼睛吹灰塵…」
"...and now, ALoHa Productions is proud to present `The Revenge of the Software Developers' in full color and stereo sound..."	「…現在 ALoHa 製片廠榮幸呈現《軟體開發者的復仇》全彩立體聲版…」
musical comedy.	音樂喜劇。
"...while Jim is fighting for his life with the raging female rhinoceros in heat, I'll slip into my tent with the native girl and this pitcher of Mai Tais..."	「……Jim 在跟發情的母犀牛搏鬥時，我就溜進帳篷跟當地女孩和這壺邁泰一起……」
"...it's a beautiful day in the neighbor..."	「……真是鄰居……美好的一天」
No, no!! Anything but that!	不，不！除了那個什麼都可以！
"...live from Malaga, California, it's the Cable Sports Network presentation of the Miniature Female Mud Wrestlers 500-Kilometer Cross-Country Nude Bicycle Race..."	「……從馬拉加加州直播，這是有線運動網呈現的《迷你女性泥浴摔跤手 500 公里越野裸體自行車賽》……」
cable sports show.	有線電視體育節目。
"...And next, Master Piece Theatre presents a special 3-D broadcast of `Naugahyde Goddesses of Oakhurst!'"	「…接下來，大作精選劇院呈現《Naugahyde 女神的橡樹林 3D 廣播》…」
educational show.	教育節目。
"...oh, baby, yeah. Yeah, I love it when you do that! Ooooooooooh!! That hurts so good, pull it out a little deeper!!!"	「……噢，寶貝，爽。爽，我喜歡你這樣做！噢噢噢！！那感覺真好，再深一點！！！」
nothing	什麼都沒有
Until now, you were unsure of how a "professional," would look.	到現在為止，你還不確定「職業』的樣子。
Now you know.	現在你知道了。
(You were happier before!)	（你之前比較開心！）
"This is your favorite part, ain' it, Honey?"	「這是你最喜歡的部分，不是嗎，寶貝？」
"Nice mandibles," you offer.	「不錯的下巴，」你說。
"You don' think I'm saggy?" she replies, no Rhodes scholar.	「你不覺得我下垂了嗎？」她回答，並非什麼高材生。
