an actress.	一位女演員。
creator of a line of cosmetics.	一系列化妝品的推手。
celebrating her silver wedding anniversary.	正在慶祝銀婚週年。
3Joan Rivers is	3瓊·瑞佛斯是\n\n(Joan Rivers is)
the real name of "Dear Abby."	「艾比小姐」專欄背後的真實姓名。
engaged to Johnny Carson.	和強尼·卡森訂了婚。
a talk show hostess.	一位脫口秀主持人。
polite to all those around her.	對身邊每個人都超有禮貌。
4Who starred in "Bedtime for Bonzo?"	4誰主演過《邦佐睡前記》？\n\n(Who starred in "Bedtime for Bonzo?")
Clint Eastwood	克林·伊斯威特
Fred Astaire	佛雷·亞斯坦
Cary Grant	卡萊·葛倫
0Taxes should be	0稅金應該\n\n(Taxes should be)
unchanged.	維持原狀。
a practical joke.	一場整人遊戲。
2Marlon Brando is	2馬龍·白蘭度是\n\n(Marlon Brando is)
a politician.	一位政治人物。
a kind of soap.	一種肥皂。
fighting acne.	正在對抗痘痘。
past puberty.	早過了青春期。
caught from toilet seats.	傳說馬桶座會傳染的。
a French dessert.	一款法式甜點。
socially desirable.	社交上人人愛。
fatal (if given to your spouse).	致命的（尤其傳給另一半的話）。
2ERA is an abbreviation for	2ERA 是…的縮寫\n\n(ERA is an abbreviation for)
Earnest Realtors of America.	美國認真房仲協會。
Equal Rights Amendment.	平等權利修正案。
Erogenous Readers Association.	情慾讀者協會。
Error Recovery Associates.	錯誤救援協會。
4G. Gordon Liddy was associated with	4G·戈登·李迪跟…扯上關係\n\n(G. Gordon Liddy was associated with)
Calvin Klein.	卡文·克萊恩。
Elizabeth Taylor.	伊莉莎白·泰勒。
the Plumbers.	抓漏水電工。
2What was illegal during Prohibition?	2禁酒令期間什麼是違法的？\n\n(What was illegal during Prohibition?)
2Who spends the most time in Las Vegas?	2誰在拉斯維加斯泡最久？\n\n(Who spends the most time in Las Vegas?)
Michael J. Fox	麥可·福克斯
Wayne Newton	韋恩·牛頓
J. Paul Getty	保羅·蓋蒂
Paul Volcker	保羅·沃爾克
3Which U. S. President was not elected to office?	3哪位美國總統不是選上台的？\n\n(Which U. S. President was not elected to office?)
Cleveland	克里夫蘭
3Which is not a currency?	3下列哪個不是貨幣？\n\n(Which is not a currency?)
3Which is not a baseball team?	3下列哪個不是棒球隊？\n\n(Which is not a baseball team?)
1Who made a record album with a cover that looked like a pair of blue jeans, complete with a working zipper?	1誰出過一張唱片,封面做成一條真牛仔褲,還縫了條能拉的拉鍊？\n\n(Who made a record album with a cover that looked like a pair of blue jeans, complete with a working zipper?)
Rolling Stones	滾石合唱團
Boy George	喬治男孩
Olivia Newton Jean	奧莉薇亞·紐頓-強
1Bob Hope, Dinah Shore, Elvis, and the Beatles all made their American television debut on	1鮑勃·霍普、黛娜·蕭爾、貓王和披頭四,都是在哪個節目首次登上美國電視？\n\n(Bob Hope, Dinah Shore, Elvis, and the Beatles all made their American television debut on)
"The Ed Sullivan Show."	「艾德·蘇利文秀」。
"My Mother, the Car."	「我媽是一輛車」。
2Michael Doonesbury founded	2麥克·杜尼斯伯里創立了\n\n(Michael Doonesbury founded)
the American Nazi Party.	美國納粹黨。
Walden Puddle Commune.	瓦爾登池塘公社。
the Young Republicans.	共和黨青年團。
the Grace Jones Fan Club.	葛蕾絲·瓊斯後援會。
3The first baseball player to challenge the reserve clause was	3第一個挑戰保留條款的棒球選手是\n\n(The first baseball player to challenge the reserve clause was)
Philly Jo Jones.	菲利·喬·瓊斯。
Roger Maris.	羅傑·馬里斯。
Curt Flood.	寇特·佛洛德。
Ted Williams.	泰德·威廉斯。
1The first Negro to play Major League Baseball was	1第一位打進大聯盟的黑人球員是\n\n(The first Negro to play Major League Baseball was)
Jackie Robinson.	傑基·羅賓森。
Joe DiMaggio.	喬·迪馬喬。
Benny Goodman.	班尼·古德曼。
Satchel Paige.	薩奇·佩吉。
2Former Congressman Wilbur Mills went for a dip in the Tidal Basin with	2前國會議員威爾伯·米爾斯,在潮汐湖下水時只帶著\n\n(Former Congressman Wilbur Mills went for a dip in the Tidal Basin with)
nothing on but his pride.	只剩一身驕傲。
a stripper named Fanne.	一位叫范妮的脫衣舞孃。
his dog Spot.	他的狗,斯波特。
a 20-year-old secretary.	一位二十歲的秘書。
3Martha Mitchell was	3瑪莎·米切爾是\n\n(Martha Mitchell was)
a porno star.	一位色情片明星。
a famous author.	一位知名作家。
