25 per cent.	百分之二十五。
1Blackjack is	1黑傑克是
an ace and a face card.	一張 A 和一張人頭牌。
used by policemen.	警察用的東西。
related to Caucasian Tom.	跟高加索湯姆有關。
a kind of car sold only in Fresno.	只在弗雷斯諾賣的一種車。
4Canada is	4加拿大是
where Canadians live.	加拿大人住的地方。
north of the U. S.	美國北方。
adjacent to the U. S.	毗鄰美國。
2Oral Roberts is	2歐赫爾·羅伯茲是
a thermometer technique.	溫度計的用法。
an evangelist.	一位傳教士。
best done with a friend.	最好跟朋友一起做。
shy.	害羞的。
0Richard Nixon was	0理查·尼克松是
an audio technician.	音響技術員。
a plumber's friend.	管子工的幫手（通樂工具）。
a president.	一位總統。
3A 747 is	3波音 747 是
a cocktail.	一種雞尾酒。
a perfect bowling score.	保齡球的滿分。
a large airplane.	一架大飛機。
a prime number.	一個質數。
1Whips, chains and handcuffs are	1鞭子、鎖鏈和手銬是
kinky.	很變態的。
used by police departments.	警察部門用的。
usually in text adventures.	通常在文字冒險裡出現。
only permitted in Eastern schools.	只有在東方學校才准許。
0A Macintosh is	0麥金塔電腦是
a kind of Apple.	蘋果公司的產品。
a kind of apple.	一種蘋果（水果）。
an article of clothing.	一件衣服。
4My parents are	4我的父母
age 10 to 25.	十到二十五歲。
age 25 to 30.	二十五到三十歲。
age 31 to 35.	三十一到三十五歲。
36 or over.	三十六歲或以上。
4My favorite actor is	4我最喜歡的演員是
Pia Zadora.	皮雅·撒多拉。
Fred Flintstone.	佛瑞德·佛林史東。
Jim Bakker.	吉姆·貝克。
not listed here.	上面沒列的。
4I have hair on my	4我的毛髮長在
head.	頭上。
palms.	手心。
keyboard.	鍵盤上。
lottsa places.	一大堆地方。
2When it's noon in California in August, in St. Louis it's	2八月加州中午時，聖路易斯是
miserable.	悶熱難受。
time for a beer.	喝啤酒的時間。
2The best "pick-up" line is:	2最好的搭訕台詞是：
Hey baby, what's your sign?	嘿寶貝，你的星座是什麼？
Want to go for a ride in my Porsche?	想坐我的保時捷兜風嗎？
For a fat girl, you sure don't sweat much!	身材這麼豐滿還不流汗，真不簡單！
You got any Vaseline on you?	你身上有凡士林嗎？
4The "Mile-High Club" is	4「千里高空俱樂部」是
a bird-watching society.	一個賞鳥協會。
a Denver ski club.	丹佛滑雪俱樂部。
a bar in East L. A.	東洛城的一間酒吧。
open to those who have performed aerial acrobatics inside a plane's rest room.	對在飛機廁所裡做過激情運動的人開放。
3My sex life is best described as	3我的性生活最好的形容詞是
non-existent and non- contemplated.	根本不存在，也沒想過。
what sex life?	性生活？什麼東西？
none of your business!!	關你屁事！！
a ripening tomato.	一顆快熟的番茄。
1Elizabeth Taylor is	1伊莉莎白·泰勒是
an actress.	一位女演員。
creator of a line of cosmetics.	化妝品系列的創造者。
celebrating her silver wedding anniversary.	慶祝她的銀婚週年。
3Joan Rivers is	3瓊·瑞佛斯是
the real name of "Dear Abby."	「親愛的艾比」的真名。
engaged to Johnny Carson.	與強尼·卡森訂婚。
a talk show hostess.	脫口秀主持人。
polite to all those around her.	對身邊所有人都很有禮貌。
4Who starred in "Bedtime for Bonzo?"	4誰主演《邦佐睡前記》？
Clint Eastwood	克林特·伊斯威特
Fred Astaire	佛瑞德·亞士塔
Cary Grant	卡利·葛蘭特
0Taxes should be	0稅收應該
lower.	更低。
higher.	更高。
unchanged.	維持不變。
eliminated.	廢除。
0A moon is	0月亮是
an astronomical body.	天文體。
a practical joke.	一個惡作劇。
a form of pie.	一種派。
2Marlon Brando is	2馬龍·白蘭度是
a politician.	一位政治家。
a kind of soap.	一種肥皂。
4I am presently	4我目前
in elementary school.	在小學。
in junior high.	在國中。
fighting acne.	在對抗痘痘。
past puberty.	青春期已過。
4Herpes is	4皰疹是
caught from toilet seats.	從馬桶座傳染的。
a French dessert.	一種法式甜點。
socially desirable.	社交上理想的。
fatal (if given to your spouse).	致命的（如果傳給你的配偶）。
2ERA is an abbreviation for	2ERA 是…的縮寫
Earnest Realtors of America.	美國認真房地產經紀人。
Equal Rights Amendment.	平等權利修正案。
Erogenous Readers Association.	性感讀者協會。
Error Recovery Associates.	錯誤恢復協會。
4G. Gordon Liddy was associated with	4G·戈登·李迪與…有關
the Mob.	黑手黨。
Calvin Klein.	卡爾文·克萊因。
Elizabeth Taylor.	伊莉莎白·泰勒。
the Plumbers.	水管工們。
2What was illegal during Prohibition?	2禁酒令期間什麼是違法的？
aphrodisiacs	春藥
alcohol	酒精
abstinence	禁慾
perversion	變態
2Bonnie and	2邦妮與
Ronnie	隆尼
Clyde	克萊德
Hubbard	哈伯德
Clod	笨蛋
2Who spends the most time in Las Vegas?	2誰在拉斯維加斯花最多時間？
Michael J. Fox	麥可·J·福克斯
Wayne Newton	韋恩·牛頓
J. Paul Getty	J·保羅·蓋蒂
