handicapped lawyer.	身障律師。
Negro junk dealer.	黑人廢料商。
3The song "American Pie" was about	3那首歌「American Pie」講的是
miscegenation.	種族混交。
Marilyn Chambers.	Marilyn Chambers。
a dead rock star.	一個死掉的搖滾明星。
four minutes too long.	長了四分鐘。
3Thomas Eagleton was dropped from the 1972 Democratic National Ticket when knowledge of his previous _____ treatments became known.	3當Thomas Eagleton曾接受過什麼治療的事曝光後，他就被從1972年民主黨全代會提名名單上除名。
skin	皮膚
screen	銀幕
shock	休克
scalp	頭皮
2The 70's practice of running around naked was called	270年代裸奔的風尚叫做
flashing.	露陰。
streaking.	裸奔。
swinging.	換妻。
on account of rain.	因為下雨。
4Peter Benchley's novel "Jaws" was about	4Peter Benchley的小說「大白鯊」講的是
Linda Lovelace.	Linda Lovelace。
dieting.	節食。
Joan Rivers.	Joan Rivers。
sharks.	鯊魚。
3Who was not Vice-President of the United States in 1973-74?	3誰不是1973-74年間的美國副總統？
Gerald Ford	Gerald Ford
Nelson Rockefeller	Nelson Rockefeller
Thomas Hayden	Thomas Hayden
Spiro Agnew	Spiro Agnew
4The "Chicago Seven" was	4「芝加哥七君子」是
some people who only seem crazy in retrospect.	一些事後看來才顯得瘋狂的傢伙。
the Bears' defensive line.	熊隊的防線。
burned for showing "Country" in three different theatres.	因在三間不同戲院放映「Country」而被燒毀。
partially convicted.	部分定罪。
3President Ford prescribed _____ for dealing with economic problems.	3福特總統開的經濟處方是_____。
tranquilizers	鎮靜劑
employment	就業
that everyone wear a WIN button	讓每個人都戴個WIN紐扣
that everyone should have a nice day	讓每個人都有個美好的一天
0The tackiest seventies fashion was	0最俗氣的七零年代時尚是
platform shoes.	厚底鞋。
midi-skirts.	及膝裙。
short hair.	短髮。
bisexuality.	雙性戀。
4O. J. Simpson is	4O. J. Simpson是
an R & B singer.	R & B歌手。
under indictment.	被起訴。
embarrassed by his first name (Olivia)	對自己的名字（Olivia）感到尷尬
no one to fool with.	不是好惹的傢伙。
2Angela Davis is	2Angela Davis是
the middle Pointer Sister.	中間那個Pointer姐妹。
a failed politician.	失敗的政治人物。
an example of split ends gone wild.	頭髮毛躁失控的典型。
Bette's daughter.	Bette的女兒。
4Detente is	4Détente是
prohibited by law in 41 states.	在41個州是違法的。
a feminine hygiene spray.	女性衛生噴霧。
the masculine form of "deteuse."	「deteuse」的陽性形式。
a policy to replace war.	代替戰爭的政策。
4Kwi-Chang-Caine became famous by saying	4Kwi-Chang-Caine因說過
"I am not a crook."	「我不是騙子。」
"The barren fig tree bears no plums."	「禿樹不結果。」
"Hi, sailor. New in town?"	「嘿，水兵。新來的？」
"Aaaaaiiiyeeeaagggh!"	「啊啊啊啊啊！」
0Ted Kennedy is best remembered for his	0Ted Kennedy最為人記得的是他的
driving.	駕駛技術。
underwater free-style.	水下自由式。
brothers.	兄弟。
All of the above.	以上全部。
3"NORML" is	3「NORML」是
not gay.	不是同性戀。
what Falwell wants you to be.	Falwell要你成為的。
trying to legalize marijuana.	試圖使大麻合法化。
misspelled.	拼錯了。
1Tom Hayden is	1Tom Hayden是
one of the Chicago Seven.	芝加哥七君子之一。
a U. S. Senator.	美國參議員。
Mr. Jane Fonda.	Jane Fonda的老公。
2The germ that transmits syphilis is	2傳播梅毒的病菌是
Spiro Agnew.	Spiro Agnew。
Spirochete.	螺旋體。
Spirograph.	玩具轉盤。
Barbarella.	Barbarella。
1Kookie's address was	1Kookie的地址是
77 Sunset Strip.	Sunset Strip 77號。
on Wistful Vista Street.	Wistful Vista Street。
334 Elm Street.	Elm Street 334號。
1313 Mockingbird Lane.	Mockingbird Lane 1313號。
2"Who knows what evil lurks in the hearts of men?"	2「誰知道人心中潛藏著什麼邪惡？」
The Psychiatrist	心理醫生
The Shadow	暗影俠
The Creeper	爬蟲人
Ingmar Bergman	Ingmar Bergman
3Al Lowe is:	3Al Lowe是：
under 25.	25歲以下。
pregnant.	懷孕。
never "carded."	從不被查證年齡。
a Woody Allen look-alike.	Woody Allen的長相複製品。
3Spiro Agnew is	3Spiro Agnew是
a form of social disease.	一種社會病。
a jazz-fusion rock band.	爵士融合搖滾樂隊。
a former Vice President.	前副總統。
the first woman in Congress.	國會第一位女性。
3Frank Sinatra is a	3Frank Sinatra是
female impersonator.	女性仿冒者。
shy pacifist.	害羞的和平主義者。
saloon singer.	酒館歌手。
distance runner.	長跑選手。
1Ralph Boysen invented	1Ralph Boysen發明了
the boysenberry.	boysen莓果。
fins on 50's cars.	50年代車子的尾翼。
bell bottomed jeans.	喇叭褲。
the juke box.	點唱機。
3The first man on the moon was	3第一個登月的人是
John Glenn.	John Glenn。
Neil Diamond.	Neil Diamond。
Neil Armstrong.	Neil Armstrong。
Jack Armstrong.	Jack Armstrong。
3"Gone With The Wind" is about	3《亂世佳人》講的是
outer space.	外太空。
a bank robbery.	銀行搶劫。
four hours long.	四小時長。
dust.	灰塵。
3Who is not a sportscaster?	3誰不是體育播報員？
Jayne Kennedy	Jayne Kennedy
Howard Cosell	Howard Cosell
Jayne Mansfield	Jayne Mansfield
