"Smith and Wesson!"	「史密斯威森！」
What a pair of pistols!	哇靠，一對大槍啊！
That pair of pistols she's wearing aren't the only 38's she's packing!	她穿著的那對槍可不是她唯一的傢伙！
You can only imagine!	還有得想呢！
Her uniform reveals she's built like a brick shipyard.	她的制服洩漏出她身材健碩得像工地！
"My name is Larry; Larry Laffer," you offer.	「我叫Larry，Larry Laffer，」你自我介紹道。
"Say, Larry," she says with a smile. "Is that a roll of dimes in your pocket, or are you just glad to see me?"	「嘿，Larry，」她微笑著說。「褲袋裡是一卷硬幣，還是見到我很開心啊？」
"`EXIT," she replies. "Try using it!"	「`EXIT，」她回應。「試著用用看！」
"When do you get off?" you ask her.	「妳幾點下班？」你問她。
"When I'm with someone romantic!" she replies.	「跟浪漫的人在一起時，」她回答。
"Don't sit here all night," you plead. "Why don't you come with me?"	「別在這兒守一整夜，」你懇求著。「何不跟我去？」
(She is, of course, referring to the use of her pistols, Larry!)	（當然啦，她指的是用她的槍，Larry！）
There's an aroma of authority in the air!	空氣中瀰漫著權力的氣息！
"So, what time do you get off?" you ask her.	「那麼，妳幾點下班？」你問她。
"Usually after I get home following work," she replies.	「通常是下班回家以後，」她答道。
"Oh, no, thanks. It is against regulations for security guards to eat while on duty."	「哦，不用，謝了。保安在值班時不能進食，公司規定。」
"I'm sorry," Faith replies, "but you don't know me that well!"	「對不起，」Faith回答，「但你還沒認識我到那個程度！」
"Oh, no, thanks. It is against regulations for security guards to drink while on duty."	「哦，不用，謝了。保安在值班時不能喝酒，公司規定。」
You click the remote at the security guard. As you expected, it fails to turn her on.	你對著女保安按遙控器。不出所料，根本沒反應。
"Apparently your unit isn't functioning properly," she says smugly.	「看來你的玩意兒壞了，」她得意地說。
"Oh, no, thanks. It is against regulations for security guards to accept common, ordinary, gifts while on duty."	「哦，不用，謝了。保安值班時不能收禮物，公司規定。」
"Yes, good idea," she smiles, caressing that pair of loaded weapons, "I try to always pack a little protection myself!"	「是啊，好主意，」她微笑著撫摸著那對上了膛的武器，「我也是，隨時準備著防衛手段！」
"Oh, no, thanks. It is against regulations for security guards to eat while on duty," she says. "Besides, I have to watch my girlish figure."	「哦，不用，謝了。保安值班時不能進食，」她說。「而且，我得保持身材。」
"That's a duty I'd be glad to volunteer for!" you think.	「那種'值班'我很樂意自願！」你心想。
She peers closely at your disco pass. "Say, exactly what's going on here? This isn't an authorized disco-dancing-type club admittance authorization voucher, 7325B/11" she says. "I'm going to confiscate this on the grounds!"	她仔細查看你的舞廳通行證。「嘿，怎麼回事？這不是正式的舞廳進場授權憑證，編號7325B/11，」她說。「我要沒收它！」
"An impressive weapon, Buddy!" she whispers huskily, "but you must learn how to thrust it properly!"	「不錯的傢伙，老兄！」她沙啞地低語，「但你得學會如何正確使用！」
Faith has her own "Jugs," Larry!	Faith有她自己的"大寶貝"，Larry！
"You'd better not threaten me, Buddy! My weapons are bigger than yours!"	「你最好別威脅我，老兄！我的傢伙比你的大！」
"I'm sorry, Sir, but I'm on duty right now, and even if I were off-duty, I'd still have no use whatsoever for %s!"	「抱歉，先生，我現在在值班，就算下班了，我也完全看不上%s！」
