Canadian	加拿大人
Top	頂部
2"It's not nice to fool"	2「被騙不好玩」
Mother Hubbard.	哈巴德媽媽。
Mother Nature.	大自然媽媽。
the government.	政府。
Mayor Daly.	戴利市長。
3"Where's the"	3「哪裡有」
catsup?	番茄醬？
toilet?	馬桶？
beef?	牛肉？
rest of this game?	這遊戲剩下的部分？
1Who was not an astronaut?	1誰不是太空人？
John Milton	約翰·彌爾頓
John Glenn	約翰·葛倫
Neil Armstrong	尼爾·阿姆斯壯
Richard Gordon	理查德·高登
2Who has not been a U. S. Attorney General?	2誰從未當過美國司法部長？
John Mitchell	約翰·米切爾
Sam Shepard	山姆·謝帕德
Ramsey Clark	拉姆齊·克拉克
Herbert Brownell	赫伯特·布朗內爾
4Which is not a cheese?	4哪個不是起司？
Jarlsburg	耶博格
Mozzarella	莫札瑞拉
Brie	布里
Reisling	麗絲玲
4Captain Kangaroo's sidekick was	4袋鼠船長的搭檔是
Mr. Potato Head.	馬鈴薯先生。
Winnie the Pooh.	小熊維尼。
Mr. Rogers.	羅傑斯先生。
Mr. Greenjeans.	綠褲先生。
3Mohammed Ali is	3穆罕默德·阿里是
a ballet star.	芭蕾舞星。
an Arab terrorist.	阿拉伯恐怖份子。
a professional boxer.	職業拳擊手。
4Who is not a mass murderer?	4誰不是連續殺人犯？
Charlie Manson	查理·曼森
Ted Bundy	泰德·邦迪
Jack the Ripper	開膛手傑克
Timothy Leary	提摩西·利里
2There are about _____ calories in a can of beer.	2啤酒罐裡大約有______卡路里。
4John Belushi was on	4約翰·貝魯西曾在
"Mr. Rogers."	《羅傑斯先生》。
"The PTL club."	《PTL俱樂部》。
"My Mother the Car."	《我媽是汽車》。
"Saturday Night Live."	《週六夜現場》。
3James Earl Jones was the voice of	3詹姆斯·厄爾·瓊斯是
Jason in "Friday the 13th."	《十三號星期五》的傑森。
Freddie in "Nightmare on Elm Street."	《夢魘街》的弗萊迪。
Darth Vader in "Star Wars."	《星際大戰》的黑武士。
Kriswell in "Plan 9 From Outer Space."	《外星第九計畫》的克里斯威爾。
2Doonesbury's "Uncle Duke" is based on	2《呆伯特》的「公爵叔叔」以…為藍本
Jeffrey Hunter.	傑佛瑞·杭特。
Hunter S. Thompson.	亨特·S·湯普森。
Huntz Hall.	亨茲·霍爾。
3In Westworld, "where nothing can go wrong," guests were entertained by	3在《西方世界》「一切都不會出錯」中，客人被
Stephen Wright.	史蒂芬·萊特。
robots.	機器人。
Rodney Dangerfield.	羅德尼·丹傑菲爾德。
1Mork was from the planet	1摩克來自行星
Ork.	歐克。
Vulcan.	瓦肯。
Krypton.	氪星。
Pluto.	冥王星。
4Who was banned from "Saturday Night Live" because he lost a telephone poll?	4誰因電話民調失敗被禁上《週六夜現場》？
John Belushi	約翰·貝魯西
Dan Akroyd	丹·艾克羅德
Chevy Chase	切維·蔡斯
Andy Kaufman	安迪·考夫曼
4The phrase "Cutting the cheese" refers to	4「切起司」這招指的是
hors d'oeuvres preparation.	開胃菜準備。
topping another French chef.	蓋過另一位法國廚師。
leaving a warm climate.	離開溫暖地帶。
flatulence.	放屁。
2Do girls really have cooties?	2女孩真的有體蝨嗎？
No.	沒有。
Some do, some don't.	有些有，有些沒有。
Maybe.	也許。
3Which song was not recorded by Elvis?	3哪首歌不是貓王唱的？
"Hound Dog"	《獵犬》
"Love Me Tender"	《溫柔地愛我》
"What'd I Say"	《我要說什麼》
"Heartbreak Hotel"	《心碎旅館》
3Edsel is a	3Edsel是
girl's name.	女孩名字。
plane.	飛機。
car.	汽車。
great investment.	絕佳投資。
1Sex is	1性是
great.	很棒。
a spectator sport.	觀賞性運動。
a mystery to me.	對我來說是謎。
3Richard Nixon was the _____ President of the United States.	3理查德·尼克松是美國的____總統。
last	最後一
funniest	最有趣的
thirty-seventh	第三十七
first Negro	第一位黑人
 "Leisure Suit Larry 1: in the Land of the Lounge Lizards"  Executive Producer Ken Williams  Creative Director Bill Davis  Director Al Lowe  Producer Stuart Moulder 	 "Leisure Suit Larry 1: in the Land of the Lounge Lizards"  Executive Producer Ken Williams  Creative Director Bill Davis  Director Al Lowe  Producer Stuart Moulder
 Game Designer Al Lowe  Art Designer William Skirvin  Lead Programmer Oliver Brelsford  Composer Chris Braymen 	 Game Designer Al Lowe  Art Designer William Skirvin  Lead Programmer Oliver Brelsford  Composer Chris Braymen
 Animators Barry Smith, Jennifer Shontz, Roger Hardy Jr., William D. Skirvin, Eric Apel, Russ Truelove, and Desie Hartman  Background Artists William D. Skirvin, Jay Allan Friedmann, Jennifer Shontz, Jane Cardinal, and Maurice Morgan  Programmers Oliver Brelsford, Mike Larsen and Al Lowe  Witty Text and Documentation Josh Mandel 	 Animators Barry Smith, Jennifer Shontz, Roger Hardy Jr., William D. Skirvin, Eric Apel, Russ Truelove, and Desie Hartman  Background Artists William D. Skirvin, Jay Allan Friedmann, Jennifer Shontz, Jane Cardinal, and Maurice Morgan  Programmers Oliver Brelsford, Mike Larsen and Al Lowe  Witty Text and Documentation Josh Mandel
 Music Director Mark Seibert  Sound Effects Chris Braymen, Mark Seibert and Orpheus Hanley  Theme Song Composed by Al Lowe  Some tunes written by dead guys (and you know who you are!) 	 Music Director Mark Seibert  Sound Effects Chris Braymen, Mark Seibert and Orpheus Hanley  Theme Song Composed by Al Lowe  Some tunes written by dead guys (and you know who you are!)
 Written Exclusively in S.C.I. "Sierra's Creative Interpreter"  System Programmers J. Mark Hood, Jeff Stephenson, Bob Heitman Pablo Ghenis, Dan Foy, Larry Scott, Mark Wilden, Eric Hart, and Chris Smith  Quality Assurance Team Leaders Mike Pickhinke and Keri Cooper  Version %s, July 4, 1991  	 Written Exclusively in S.C.I. "Sierra's Creative Interpreter"  System Programmers J. Mark Hood, Jeff Stephenson, Bob Heitman Pablo Ghenis, Dan Foy, Larry Scott, Mark Wilden, Eric Hart, and Chris Smith  Quality Assurance Team Leaders Mike Pickhinke and Keri Cooper  Version %s, July 4, 1991
 Having fun? Want to have more fun?  For another "real good time," just dial Sierra On-Line's Order Desk at 800 326-6654 International customers call 209 683-4468  They have lots more games available and all of them are better than this! 	 Having fun? Want to have more fun?  For another "real good time," just dial Sierra On-Line's Order Desk at 800 326-6654 International customers call 209 683-4468  They have lots more games available and all of them are better than this!
How could you play for %d hour%s, %d minute%s and %d second%s and only score %d point%s?!	你花了 %d 小時 %d 分鐘 %d 秒竟然只賺 %d 點？！
You've been playing this game for %d minute%s and %d second%s and you've only scored %d point%s?!	你玩了 %d 分鐘 %d 秒就才賺 %d 點？！
You've been playing this game for %d minute%s and %d second%s and you haven't scored a single point?	你玩了 %d 分鐘 %d 秒一分都沒賺？
Get a life!	去過生活吧！
