Funnicular.	纜車。
that WAS her last name.	那就是她的姓氏啦。
Funicello.	Funicello.
Avalon.	Avalon.
3"Tiptoe Through the Tulips" was recorded by	3《踮腳走過鬱金香》由以下錄製
Alice Cooper.	Alice Cooper.
Alice B. Toklas.	Alice B. Toklas.
Tiny Tim.	Tiny Tim.
Big Tiny Little.	Big Tiny Little.
3Which one of these was neither a war nor a "police action?"	3下列何者既非戰爭亦非「警務行動」?
Crimean	克里米亞
Korean	韓戰
Chinese	中國
Vietnamese	越南
4Who's buried in Grant's tomb?	4誰埋在格蘭特陵寢裡?
Grant Tinker	Grant Tinker
Land Grant	Land Grant
NSF Grant	NSF Grant
Mrs. Grant	Mrs. Grant
1John F. Kennedy drove a	1甘迺迪開的是
PT boat.	魚雷快艇。
spike faster than a steam driver.	釘得比蒸汽錘還快。
battleship.	戰艦。
Ferrari.	Ferrari.
3Peter Piper picked a peck of pickled	3《Peter Piper 摘了一籠醃漬的
pips.	種籽。
pipers.	笛手。
peppers.	辣椒。
peekers.	窺視者。
3A result of Watergate was	3水門事件的後果是
the loss of water.	失去水資源。
Jimmy Carter quit.	吉米卡特下台了。
Richard Nixon quit.	理查德尼克森下台了。
Gerald Ford quit.	傑拉德福特下台了。
2I find computer games with adult content	2我認為有大人內容的電腦遊戲
offensive.	令人厭惡。
acceptable.	還可以接受。
repulsive.	噁心死了。
under my bed.	藏在我床底下。
1The Atlantic and Pacific Oceans are connected by the	1大西洋和太平洋由以下連結
Panama Canal.	巴拿馬運河。
Snake River.	蛇河。
hips.	臀部。
Isthmus of Panama.	巴拿馬地峽。
3The most likely place to find virgins is	3最容易找到處女的地方是
The Virgin Islands.	美屬維京群島。
Virginia.	維吉尼亞州。
St. Mary's Girls School.	聖瑪麗女子中學。
Hollywood.	好萊塢。
1Who wrote "To be, or not to be?"	1誰寫的《To be, or not to be?》?
Bill Shakespeare.	Bill Shakespeare.
Paul McCartney.	Paul McCartney.
George Bernard Shaw.	George Bernard Shaw.
Tennessee Williams.	Tennessee Williams.
2The largest state is	2最大的州是
California.	加州。
Alaska.	阿拉斯加。
Rhode Island.	羅德島。
Texas.	德州。
4Utah is full of	4猶他州滿是
fresh water.	淡水。
Jews.	猶太人。
Catholics.	天主教徒。
4The leader of Nazi Germany was	4納粹德國的領導人是
Boris Godunov.	Boris Godunov.
Mussolini.	墨索里尼。
Oleg Cassinni.	Oleg Cassinni.
Adolph Hitler.	阿道夫希特勒。
3Lee Harvey Oswald killed	3李哈維奧斯瓦爾德幹掉了
Harvey Milk.	Harvey Milk.
Charles Nelson Reilly.	Charles Nelson Reilly.
John Fitzgerald Kennedy.	John Fitzgerald Kennedy.
William Randolph Hearst.	William Randolph Hearst.
4How many molecules are in a glass of water?	4一杯水裡有多少分子?
one million	一百萬
one trillion	一兆
one million trillion	一百萬兆
as many as there are glasses of water in the whole world	跟全世界有多少杯水就一樣多。
0If a physician were stranded on a desert island with Bo Derek, he would probably	0醫生跟Bo Derek困在孤島上，他八成會
build a boat.	造艘船去逃。
take two aspirins.	吞兩顆阿司匹靈。
overcharge her.	對她坐地起價。
thank God.	感謝老天。
4If Bo Derek were here, I'd ask her to	4要是Bo Derek在這兒，我會叫她
leave.	滾蛋。
respect my privacy.	尊重我的隱私。
help me with my homework.	幫我做功課。
stop playing computer games.	別玩電腦遊戲了。
2Joe DiMaggio played	2喬迪馬吉歐打過
pool.	撞球。
baseball.	棒球。
basketball.	籃球。
trumpet.	小號。
3The most populous city in the United States is	3美國人口最多的城市是
Los Angeles.	洛杉磯。
Mexico City.	墨西哥城。
New York.	紐約。
Chicago.	芝加哥。
2A nehru jacket is	2尼赫魯夾克是
made from tanned nehru hides.	用鞣製尼赫魯皮做的。
out of date.	早就過時啦。
a Middle Eastern prophylactic.	中東的保險套。
around a car's radiator.	纏汽車散熱器用的。
3Sergeant Pepper was	3軍曹佩珀是
the Beatles' chauffeur.	披頭四的司機。
Elvis' manager.	貓王的經紀人。
the leader of the Lonely Hearts Club Band.	《孤寂芳心樂隊》的頭領。
hung for treason.	因叛國被吊死的。
4Which is not an American armed force?	4下列何者不是美國武裝部隊?
the Army	陸軍
the Navy	海軍
the National Guard	國民警衛隊
the National League	美國職棒大聯盟
1The most effective form of birth control is	1最有效的避孕方法是
abstinence.	禁慾。
the Rhythm Method.	安全期法。
the Pill.	避孕丸。
dating ugly people.	跟醜人約會。
3Which is not a city in Mexico?	3下列何者不是墨西哥城市?
Tijuana	提華納
Puerto Vallarta	普埃爾托瓦亞爾塔
San Diego	聖地亞哥
Mexico City	墨西哥城
1Herb Alpert and the _____ Brass	1Herb Alpert and the _____ Brass
Boss	Boss
