Paul Volcker	保羅·沃爾克
3Which U. S. President was not elected to office?	3下列哪位美國總統不是被選舉產生的？
Johnson	詹森
Eisenhower	艾森豪
Ford	福特
Cleveland	克利夫蘭
3Which is not a currency?	3下列哪個不是貨幣？
yen	日圓
lira	里拉
fennel	茴香
rupee	盧比
3Which is not a baseball team?	3下列哪個不是棒球隊？
Blue Jays	藍鳥隊
Cardinals	紅雀隊
Seahawks	海鷹隊
Orioles	金鶯隊
1Who made a record album with a cover that looked like a pair of blue jeans, complete with a working zipper?	1誰發行過一張唱片，封面就是一條真的牛仔褲，還有真的拉鍊？
Rolling Stones	滾石樂隊
Boy George	喬治男孩
Olivia Newton Jean	奧莉薇亞·紐頓-約翰
Madonna	麥當娜
1Bob Hope, Dinah Shore, Elvis, and the Beatles all made their American television debut on	1鮑勃·霍普、黛娜·肖爾、貓王和披頭四都在哪個節目上首次登上美國電視？
"The Ed Sullivan Show."	"艾德·蘇利文秀"
"Your Show of Shows."	"你的秀"
"The Tonight Show."	"今夜秀"
"My Mother, the Car."	"我媽是輛車"
2Michael Doonesbury founded	2麥克·杜尼斯伯里創辦了
the American Nazi Party.	美國納粹黨
Walden Puddle Commune.	瓦爾登湖公社
the Young Republicans.	共和黨青年團
the Grace Jones Fan Club.	葛蕾絲·瓊斯粉絲俱樂部
3The first baseball player to challenge the reserve clause was	3第一個向棒球保留條款提出挑戰的球員是
Philly Jo Jones.	菲利·喬·瓊斯
Roger Maris.	羅傑·馬瑞斯
Curt Flood.	寇特·佛洛德
Ted Williams.	泰德·威廉斯
1The first Negro to play Major League Baseball was	1第一位進入職棒大聯盟的黑人球員是
Jackie Robinson.	傑基·羅賓遜
Joe DiMaggio.	喬·迪馬喬
Benny Goodman.	班尼·古德曼
Satchel Paige.	薩奇爾·佩奇
2Former Congressman Wilbur Mills went for a dip in the Tidal Basin with	2前國會議員威爾伯·米爾斯在潮汐湖裡游泳時只穿著
nothing on but his pride.	只有他的驕傲
a stripper named Fanne.	一位名叫范妮的脫衣舞者
his dog Spot.	他的狗斯波特
a 20-year-old secretary.	一位 20 歲的秘書
3Martha Mitchell was	3瑪莎·米切爾是
a porno star.	色情明星
a famous author.	著名作家
the outspoken wife of an Attorney General.	司法部長的直言不諱的妻子
2The G-Spot is supposed to be	2據說G點是
Ground Zero at a nuclear blast.	核爆的零點
a female erogenous zone.	女性的敏感區
an unexplained astro- nomical discovery.	一個神秘的天文發現
the place where the FBI was first established.	聯邦調查局成立的地方
4Hugh Hefner is usually photographed in	4休·海夫納通常被拍到穿著
the nude.	全裸
a hot tub.	熱水浴缸裡
his current lover's arms.	他現任情人的懷裡
pajamas.	睡衣
1The 1973 album "Dark Side of the Moon" was recorded by	11973 年的專輯《月球背面》是由下列誰錄製的
Pink Floyd.	平克·弗洛伊德樂隊
Deep Purple.	深紫樂隊
Bad News.	壞消息
the Grateful Dead.	感恩而死樂隊
2When playing "Monopoly" you	2玩大富翁時你
hope for a straight flush.	希望抽到同花順
must own four houses before building a hotel.	必須先擁有四棟房子才能蓋飯店
need a black jack to win.	需要黑傑克才能贏
win with a seven and a five.	拿到七和五就贏了
3Which is not in Hawaii?	3下列哪個不在夏威夷？
Oahu	歐胡島
Kauai	考艾島
Fiji	斐濟
Maui	毛伊島
4Which is not a car?	4下列哪個不是汽車？
Ferrari	法拉利
Porsche	保時捷
Corvair	科瓦爾
Toshiba	東芝
3President Eisenhower's nickname was	3艾森豪總統的綽號是
Tink.	丁克
Blackjack.	黑傑克
Ike.	艾克
Tina.	蒂娜
4Bourbon Street is in	4波旁街在
Whiskeyville, Indiana.	威士忌村，印第安納州
Jackass Flats, Idaho.	蠢驢平原，愛達荷州
"Monopoly."	"大富翁"
New Orleans, Louisiana.	紐奧良，路易斯安那州
1Does a pair of queens beat three deuces?	1一對皇后能贏三個二點嗎？
Yes, in blackjack.	對，在二十一點裡
Yes, in poker.	對，在撲克裡
No, in canasta.	不，在卡納斯塔裡
It depends on what the three deuces said.	要看那三個二點說什麼
3Calvin Klein is	3卡爾文·克萊因是
married to Brooke Shields.	和布魯克·雪德茲結婚
a movie star.	電影明星
a clothing designer.	服裝設計師
President of the Coarsegold Chamber of Commerce.	粗金商會會長
4Two bits is	4兩比是
all it takes to consume a "Big Mac."	只需要消費一個"大麥克"的成本
computer talk.	電腦術語
about a dollar.	差不多一塊錢
the former cost for a shave and a haircut.	以前刮鬍子和剪髮的費用
4Charlie McCarthy and	4查理·麥卡錫和
John Lennon	約翰·藍儂
Louis Pasteur	路易·巴斯德
Albert Einstein	阿爾伯特·愛因斯坦
Edgar Bergen	埃德加·伯根
4Who is not a famous musician?	4下列誰不是著名音樂家？
Lawrence Welk	勞倫斯·韋爾克
Tommy Dorsey	湯米·多西
Les Brown	萊斯·布朗
Steve Garvey	史蒂夫·加維
3Which is non-alcoholic?	3下列哪個不含酒精？
whiskey	威士忌
Grand Marnier	大瑪尼亞
Perrier	沛綠雅
tequila	龍舌蘭
3Who was not a politician?	3下列誰不是政治人物？
Richard Nixon	理查德·尼克松
W. C. Fields	W.C.菲爾茲
George Bush	喬治·布什
3The last name of Annette (on the original Mickey Mouse Club) was	3安妮特（在原版米老鼠俱樂部上）的姓氏是
