%m10%w1?	%m10%w1?
%m10%w2?	%m10%w2?
%m10%w3?	%m10%w3?
%m10%w4?	%m10%w4?
%m10%w5?	%m10%w5?
%m10%w6?	%m10%w6?
%m10%w7?	%m10%w7?
%m10%w8?	%m10%w8?
Ok.\n\nYou toss back the shot of cheap booze, then dramatically break the glass on the floor!	好！\n\n你把那杯地雷酒一口乾了，還耍帥把杯子摔碎在地上！
What's a 	什麼是
\n    Leisure Suit Larry\n          in the\nLand of the Lounge Lizards\n\n        by Al Lowe\n\n   Ver 1.00    6/1/87\n	\n    Leisure Suit Larry\n          in the\nLand of the Lounge Lizards\n\n        by Al Lowe\n\n   Ver 1.00    6/1/87\n
Thanks for playing "Leisure Suit Larry in the Land of the Lounge Lizards."\n\nYou screwed up this game, but you can probably do better.\n\nCome on, let's do it just one more time!	感謝遊玩《Leisure Suit Larry in the Land of the Lounge Lizards》。\n\n你把這遊戲玩得亂七八糟，不過應該還有進步空間。\n\n來啦，再拚一次！
Since you're dead...\n\nall you can do is restore a saved game or start over.	你已經掛了…\n\n現在只能重新讀檔或重新開始。
You have $%v90.00.	你有 $%v90.00。
You don't have it.	你沒有那東西。
Sorry, this is a real-time game!	抱歉，這是即時遊戲！
%m11%m100%v117 hours, %v116 minutes and %v115 seconds.\n	%m11%m100%v117 小時、%v116 分鐘和 %v115 秒。\n
%m11%m100%v116 minutes and %v115 seconds.\n	%m11%m100%v116 分鐘和 %v115 秒。\n
You find your leisure suit very stylish, but empty.	這身騷包白西裝是你全身最值錢的行頭——偏偏口袋比臉還乾淨。
You have no need to take it.	你沒必要拿它。
Where!?	哪裡！？
You might need it.	你可能會用到它。
"Hi."	「嗨。」
Following your conviction for bestiality, you spend the rest of your life in prison, turning big rocks into little ones!	獸交罪名成立，你從此鐵窗度日，唯一的休閒活動就是把大石頭砸成小石頭！
"You're welcome."	「不客氣。」
"Same to you!"	「彼此彼此！」
%v119:%v116|2:%v115|2 	%v119:%v116|2:%v115|2
"'Bye."	「掰掰。」
Fastest%m36	最快%m36
Fast%m36	快速%m36
Normal%m36	正常%m36
Slow%m36	緩慢%m36
 speed.	 速度。
Once you tasted it, you wouldn't want it!	嚐過一次，你保證不會想碰第二次！
Without thinking, you down the entire bottle. Hey, this stuff is ok! Your breathing becomes heavy, and you're suddenly extremely horny! You've just got to do something, and right NOW!\n\nHey, where's that cute, black dog?	想都沒想，你就把整瓶乾了。欸，這味道還可以嘛！呼吸變喘，你忽然凍未條，慾火焚身，非得馬上做點什麼不可！\n\n欸，那隻可愛的黑狗跑去哪了？
Wouldn't you rather just remain friends?	你不覺得，我們還是當朋友就好嗎？
Don't whine!	別在那邊哀哀叫啦！
Funny, no response.	奇怪，沒反應。
It doesn't look interesting.	看起來沒什麼意思。
You see nothing special.	沒有什麼特別的。
It's just as it appears.	就是看起來那樣。
How can you do that?	你怎麼做得了？
It's of no use.	沒用的。
You don't need it.	你用不著。
There's no reason to take it.	沒理由拿它。
Just walk there.	就直接走過去吧。
Oh, %w1, %w1, %w1! Doesn't anybody _____ anymore?	哎呀，%w1、%w1、%w1！這年頭沒人要_____ 了嗎？
%m53?	%m53?
%m53 %w3?	%m53 %w3?
What would you do with the %w2	你拿 %w2 想幹嘛
How can you use that which you do not have?	你沒有的東西怎麼用？
You're not close enough.	你靠得不夠近。
You already have it.	你已經有了。
Ok.	好。
That comes later.	那以後再說。
Sierra 	Sierra
About Larry	關於 Larry
Help   <F1>	說明   <F1>
-----------	-----------
Calculator 	計算機
Puzzle     	拼圖
File 	檔案
Save     <F5>	存檔     <F5>
Restore  <F7>	讀檔  <F7>
-------------	-------------
Restart  <F9>	重新開始  <F9>
Quit  <Alt-Z>	結束  <Alt-Z>
Action 	動作
Inventory  <Tab>	物品  <Tab>
See Object      	查看物體
Bodily Function 	生理機能
Special 	特殊
Sound On/Off      <F2>	音效開/關      <F2>
Graphics Mode <Ctrl-R>	圖形模式 <Ctrl-R>
Joystick      <Ctrl-J>	搖桿      <Ctrl-J>
Clock On/Off          	時鐘開/關
Pause Game            	暫停遊戲
Speed 	速度
Normal       	正常
Slow         	緩慢
Fast         	快速
Fastest      	最快
Change  <F10>	更改  <F10>
Boss Key      <Ctrl-B>	老闆鍵      <Ctrl-B>
\n\nYou've been playing for\n	\n\n你已經玩了\n
Psssft. Psssft.	嘶…嘶…
Ahhh.	啊。
Yep, it's a door!	沒錯，就是一扇門啦！
Watch it, Larry. You're going to get your face slapped!	小心點，賴瑞，你這樣下去要被打巴掌了！
Now?!	現在？！
Ok.\n\nYour thirst is gone, the bottle is empty, and your breath is revolting.	好。\n\n你解渴了，瓶子空了，你的嘴巴現在比廚餘桶還臭。
"Hey, dork! You've got toilet paper stuck to your shoe!"	「嘿，俗辣！你鞋底黏了張衛生紙耶！」
"Phew! You smell like a used fire hydrant!"	「齁！你這一身味，是路邊那根被狗做記號做十年的消防栓吧？」
Just a moment, please...	請稍候…
2	2
+ 2	+ 2
---	---
  4	  4
   This is about the extent of\n    your mathematical abilities.	   這大概就是你\n    數學能力的天花板了。
---------------------	---------------------
|  1 |  2 |  3 |  4 |	|  1 |  2 |  3 |  4 |
|  5 |  6 |  7 |  8 |	|  5 |  6 |  7 |  8 |
|  9 | 10 | 11 | 12 |	|  9 | 10 | 11 | 12 |
| 13 | 14 | 15 | 16 |	| 13 | 14 | 15 | 16 |
|----|----|----|----|	|----|----|----|----|
How's this thing work, anyway?	這東西到底要怎麼用啊？
Enter function: 	輸入功能：
You quickly turn around, %s11, and feel much better. A hint of a smile crosses your lips.	你迅速轉身，%s11，整個人舒暢多了，嘴角忍不住浮起一絲得意的笑。
Larry, the whole idea was to stop doing that!	賴瑞，重點就是要你別再這樣搞了好嗎！
do nothing	什麼都不做
You talk to yourself, and find you already know what you're going to say.	你跟自己講話，卻發現早就猜到自己要說什麼了。
Good idea. You carefully remove and dispose of it properly.	好主意。你小心地把它移除並妥善處理。
You nonchalantly scrape it off.	你一臉淡定地把它刮掉。
Oh, no! You are now penniless. You hock your leisure suit, and spend the rest of your life on skid row eating discarded fast food.	慘了！你窮到脫褲了。白西裝進了當舖，你從此流落街頭，靠速食店的剩薯條過完下半輩子。
The rest of your story is too sad to tell. Time for a little "R & R," Larry -- Restart or Restore!	你接下來的故事太慘，說不下去了。該來點「R&R」了，賴瑞——重新開始或讀檔啦！
