%m10%w1?	%m10%w1?
%m10%w2?	%m10%w2?
%m10%w3?	%m10%w3?
%m10%w4?	%m10%w4?
%m10%w5?	%m10%w5?
%m10%w6?	%m10%w6?
%m10%w7?	%m10%w7?
%m10%w8?	%m10%w8?
Ok.\n\nYou toss back the shot of cheap booze, then dramatically break the glass on the floor!	Ok.\n\nYou toss back the shot of cheap booze, then dramatically break the glass on the floor!
What's a 	What's a 
\n    Leisure Suit Larry\n          in the\nLand of the Lounge Lizards\n\n        by Al Lowe\n\n   Ver 1.00    6/1/87\n	\n    Leisure Suit Larry\n          in the\nLand of the Lounge Lizards\n\n        by Al Lowe\n\n   Ver 1.00    6/1/87\n
Thanks for playing "Leisure Suit Larry in the Land of the Lounge Lizards."\n\nYou screwed up this game, but you can probably do better.\n\nCome on, let's do it just one more time!	Thanks for playing "Leisure Suit Larry in the Land of the Lounge Lizards."\n\nYou screwed up this game, but you can probably do better.\n\nCome on, let's do it just one more time!
Since you're dead...\n\nall you can do is restore a saved game or start over.	Since you're dead...\n\nall you can do is restore a saved game or start over.
You have $%v90.00.	You have $%v90.00.
You don't have it.	You don't have it.
Sorry, this is a real-time game!	Sorry, this is a real-time game!
%m11%m100%v117 hours, %v116 minutes and %v115 seconds.\n	%m11%m100%v117 hours, %v116 minutes and %v115 seconds.\n
%m11%m100%v116 minutes and %v115 seconds.\n	%m11%m100%v116 minutes and %v115 seconds.\n
You find your leisure suit very stylish, but empty.	You find your leisure suit very stylish, but empty.
You have no need to take it.	You have no need to take it.
Where!?	Where!?
You might need it.	You might need it.
"Hi."	"Hi."
Following your conviction for bestiality, you spend the rest of your life in prison, turning big rocks into little ones!	Following your conviction for bestiality, you spend the rest of your life in prison, turning big rocks into little ones!
"You're welcome."	"You're welcome."
"Same to you!"	"Same to you!"
%v119:%v116|2:%v115|2 	%v119:%v116|2:%v115|2 
"'Bye."	"'Bye."
Fastest%m36	Fastest%m36
Fast%m36	Fast%m36
Normal%m36	Normal%m36
Slow%m36	Slow%m36
 speed.	 speed.
Once you tasted it, you wouldn't want it!	Once you tasted it, you wouldn't want it!
Without thinking, you down the entire bottle. Hey, this stuff is ok! Your breathing becomes heavy, and you're suddenly extremely horny! You've just got to do something, and right NOW!\n\nHey, where's that cute, black dog?	Without thinking, you down the entire bottle. Hey, this stuff is ok! Your breathing becomes heavy, and you're suddenly extremely horny! You've just got to do something, and right NOW!\n\nHey, where's that cute, black dog?
Wouldn't you rather just remain friends?	Wouldn't you rather just remain friends?
Don't whine!	Don't whine!
Funny, no response.	Funny, no response.
It doesn't look interesting.	It doesn't look interesting.
You see nothing special.	You see nothing special.
It's just as it appears.	It's just as it appears.
How can you do that?	How can you do that?
It's of no use.	It's of no use.
You don't need it.	You don't need it.
There's no reason to take it.	There's no reason to take it.
