%m10%w1?	%m10%w1?
%m10%w2?	%m10%w2?
%m10%w3?	%m10%w3?
%m10%w4?	%m10%w4?
%m10%w5?	%m10%w5?
%m10%w6?	%m10%w6?
%m10%w7?	%m10%w7?
%m10%w8?	%m10%w8?
Ok.\n\nYou toss back the shot of cheap booze, then dramatically break the glass on the floor!	好！\n\n你一飲而盡那杯爛酒，然後戲劇性地把玻璃杯砸在地上！
What's a 	什麼是
\n    Leisure Suit Larry\n          in the\nLand of the Lounge Lizards\n\n        by Al Lowe\n\n   Ver 1.00    6/1/87\n	\n    Leisure Suit Larry\n          in the\nLand of the Lounge Lizards\n\n        by Al Lowe\n\n   Ver 1.00    6/1/87\n
Thanks for playing "Leisure Suit Larry in the Land of the Lounge Lizards."\n\nYou screwed up this game, but you can probably do better.\n\nCome on, let's do it just one more time!	感謝遊玩《Leisure Suit Larry in the Land of the Lounge Lizards》。\n\n你把這遊戲玩砸了，但下次應該能做得更好。\n\n來吧，再玩一次！
Since you're dead...\n\nall you can do is restore a saved game or start over.	你已經掛了…\n\n現在只能重新讀檔或重新開始。
You have $%v90.00.	你有 $%v90.00。
You don't have it.	你沒有那東西。
Sorry, this is a real-time game!	抱歉，這是即時遊戲！
%m11%m100%v117 hours, %v116 minutes and %v115 seconds.\n	%m11%m100%v117 小時、%v116 分鐘和 %v115 秒。\n
%m11%m100%v116 minutes and %v115 seconds.\n	%m11%m100%v116 分鐘和 %v115 秒。\n
You find your leisure suit very stylish, but empty.	你的豔裝套裝很時髦，但口袋空空。
You have no need to take it.	你沒必要拿它。
Where!?	哪裡！？
You might need it.	你可能會用到它。
"Hi."	「嗨。」
Following your conviction for bestiality, you spend the rest of your life in prison, turning big rocks into little ones!	在獸交罪名定罪後，你在獄中度過餘生，把大石頭砸成小石頭！
"You're welcome."	「不客氣。」
"Same to you!"	「彼此彼此！」
%v119:%v116|2:%v115|2 	%v119:%v116|2:%v115|2
"'Bye."	「掰掰。」
Fastest%m36	最快%m36
Fast%m36	快速%m36
Normal%m36	正常%m36
Slow%m36	緩慢%m36
 speed.	 速度。
Once you tasted it, you wouldn't want it!	嚐過一次後，你就不會想再碰了！
Without thinking, you down the entire bottle. Hey, this stuff is ok! Your breathing becomes heavy, and you're suddenly extremely horny! You've just got to do something, and right NOW!\n\nHey, where's that cute, black dog?	二話不說，你把整瓶灌下去。嘿，這東西還不錯！呼吸變得沉重，你忽然慾火焚身！你得馬上做點什麼！\n\n嘿，那隻可愛的黑狗呢？
Wouldn't you rather just remain friends?	妳不想保持朋友關係嗎？
Don't whine!	別嗯嗯唧唧的！
Funny, no response.	奇怪，沒反應。
It doesn't look interesting.	看起來沒什麼意思。
You see nothing special.	沒有什麼特別的。
It's just as it appears.	就是看起來那樣。
How can you do that?	你怎麼做得了？
It's of no use.	沒用的。
You don't need it.	你用不著。
There's no reason to take it.	沒理由拿它。
Just walk there.	就直接走過去吧。
Oh, %w1, %w1, %w1! Doesn't anybody _____ anymore?	哎呀，%w1、%w1、%w1！沒人要_____ 了嗎？
%m53?	%m53?
%m53 %w3?	%m53 %w3?
What would you do with the %w2	你拿 %w2 來幹嘛
How can you use that which you do not have?	你沒有的東西怎麼用？
You're not close enough.	你靠得不夠近。
