Tsk, tsk.	Tsk, tsk.
Ok, but I don't usually do that!	Ok, but I don't usually do that!
You press the button on the remote control and...	You press the button on the remote control and...
...nothing happens.	...nothing happens.
Wearing the magic ring gives you powers far beyond those of...	Wearing the magic ring gives you powers far beyond those of...
...Oops. Wrong game.	...Oops. Wrong game.
Pretty dramatic, eh?	Pretty dramatic, eh?
It smells good.	It smells good.
You can't. There's no key in this game!	You can't. There's no key in this game!
"Eeeyow! Do something about that breath of yours!"	"Eeeyow! Do something about that breath of yours!"
"Remember to buy more Sierra three-dimensional, graphic, adventure games!"	"Remember to buy more Sierra three-dimensional, graphic, adventure games!"
You might want to read them.	You might want to read them.
Staring at the walls?	Staring at the walls?
Climbing the walls already?	Climbing the walls already?
It just lies there, under your feet.	It just lies there, under your feet.
Sierra On-Line, Inc.  (209) 683-6858	Sierra On-Line, Inc.  (209) 683-6858
It tastes delicious. But nothing happens.	It tastes delicious. But nothing happens.
Exactly how would you help?	Exactly how would you help?
You'd better not. You might get your face slapped!	You'd better not. You might get your face slapped!
You don't have one.	You don't have one.
Your mouth tastes like the inside of a motorman's glove!	Your mouth tastes like the inside of a motorman's glove!
Your breath smells like floor sweepings from a rendering plant.	Your breath smells like floor sweepings from a rendering plant.
Your breath is enough to take your breath away.	Your breath is enough to take your breath away.
Your mouth tastes like the drippings from a marathon runner's sock.	Your mouth tastes like the drippings from a marathon runner's sock.
It's still up there!	It's still up there!
It tastes delicious, but what about your acne?	It tastes delicious, but what about your acne?
Whee!	Whee!
There's no answer. Try opening it.	There's no answer. Try opening it.
Ha, ha.	Ha, ha.
You find nothing.	You find nothing.
"HELP!"	"HELP!"
"It's about time!!"	"It's about time!!"
Well, well. It looks like this month's issue is filled with intelligent, literary articles with redeeming social value.	Well, well. It looks like this month's issue is filled with intelligent, literary articles with redeeming social value.
Since your breath sprayer is empty, you toss it away.	Since your breath sprayer is empty, you toss it away.
You used it all, remember.	You used it all, remember.
No place in Lost Wages accepts credit cards from the First National Bank of Libya.	No place in Lost Wages accepts credit cards from the First National Bank of Libya.
Obviously, restraint is no problem for you, Larry.	Obviously, restraint is no problem for you, Larry.
"Ha, ha!"	"Ha, ha!"
There's no time!	There's no time!
That's an idea; it's just not a good idea!	That's an idea; it's just not a good idea!
OK, but now it's gone forever!	OK, but now it's gone forever!
"Hey, thanks a lot!"	"Hey, thanks a lot!"
But, now you'll NEVER get it back!	But, now you'll NEVER get it back!
%m182rope.	%m182rope.
%m182hammer.	%m182hammer.
You have no 	You have no 
"Yuck!"	"Yuck!"
No one wants that!	No one wants that!
Pretty good company, eh?	Pretty good company, eh?
Adventure Game Development System	Adventure Game Development System
(C) 1987 by Sierra On-Line, Inc.	(C) 1987 by Sierra On-Line, Inc.
Johnny Carson is\n\n  a. a singer.\n  b. David Letterman's\n       sidekick.\n  c. Ed McMahon's sidekick.\n  d. an actor.	Johnny Carson is\n\n  a. a singer.\n  b. David Letterman's\n       sidekick.\n  c. Ed McMahon's sidekick.\n  d. an actor.
VCR stands for\n\n  a. Very Confusing Record.\n  b. Visual Cartridge\n       Recording.\n  c. Very Complete Record.\n  d. Video Cassette Recorder.	VCR stands for\n\n  a. Very Confusing Record.\n  b. Visual Cartridge\n       Recording.\n  c. Very Complete Record.\n  d. Video Cassette Recorder.
The East Coast is\n\n  a. home of the Mets.\n  b. a country.\n  c. where people talk funny.\n  d. adjacent to Texas.	The East Coast is\n\n  a. home of the Mets.\n  b. a country.\n  c. where people talk funny.\n  d. adjacent to Texas.
Is this software pirated?\n\n  a. Yes.\n  b. I'm not talking.\n  c. No. (How could you\n       even ask!)\n  d. No, just borrowed.	Is this software pirated?\n\n  a. Yes.\n  b. I'm not talking.\n  c. No. (How could you\n       even ask!)\n  d. No, just borrowed.
Pia Zadora is\n\n  a. sexy.\n  b. a singer.\n  c. short.\n  d. all of the above.	Pia Zadora is\n\n  a. sexy.\n  b. a singer.\n  c. short.\n  d. all of the above.
The world is\n\n  a. flat.\n  b. spherical.\n  c. a big place.\n  d. near Fresno.	The world is\n\n  a. flat.\n  b. spherical.\n  c. a big place.\n  d. near Fresno.
"Let It Be" was recorded by\n\n  a. the Rolling Stones.\n  b. the Monkees.\n  c. Creedence Clearwater.\n  d. the Beatles.	"Let It Be" was recorded by\n\n  a. the Rolling Stones.\n  b. the Monkees.\n  c. Creedence Clearwater.\n  d. the Beatles.
All politicians are\n\n  a. hardworking.\n  b. honest.\n  c. ethical.\n  d. on the public payroll.	All politicians are\n\n  a. hardworking.\n  b. honest.\n  c. ethical.\n  d. on the public payroll.
Lingerie is\n\n  a. sexy.\n  b. a kind of car.\n  c. a French food.\n  d. edible.	Lingerie is\n\n  a. sexy.\n  b. a kind of car.\n  c. a French food.\n  d. edible.
Paul, John, Ringo and\n\n  a. Fred.\n  b. George.\n  c. Harry.\n  d. me.	Paul, John, Ringo and\n\n  a. Fred.\n  b. George.\n  c. Harry.\n  d. me.
Do girls really have cooties?\n\n  a. Yes.\n  b. No.\n  c. Some do, some don't.\n  d. Maybe.	Do girls really have cooties?\n\n  a. Yes.\n  b. No.\n  c. Some do, some don't.\n  d. Maybe.
Which song was not recorded by Elvis?\n\n  a. "Hound Dog"\n  b. "Love Me Tender"\n  c. "What'd I Say"\n  d. "Heartbreak Hotel"	Which song was not recorded by Elvis?\n\n  a. "Hound Dog"\n  b. "Love Me Tender"\n  c. "What'd I Say"\n  d. "Heartbreak Hotel"
Edsel is a\n\n  a. girl's name.\n  b. plane.\n  c. car.\n  d. great investment.	Edsel is a\n\n  a. girl's name.\n  b. plane.\n  c. car.\n  d. great investment.
Sex is\n\n  a. great.\n  b. ok.\n  c. a spectator sport.\n  d. a mystery to me.	Sex is\n\n  a. great.\n  b. ok.\n  c. a spectator sport.\n  d. a mystery to me.
