"Sure, we got lubbers!"	"當然有啦，潤滑液齊全！"
(Obviously you've hit his area of expertise!)	(顯然你戳到他的專長了！)
"What kind lubber you want? Smooth or libbed?"	"你要啥牌潤滑液？光滑還是粗糙的？"
"Colored or plain?"	"有色還是無色？"
"Lubricated or rough-cut?"	"上油或未拋光？"
"Striped or plaid?"	"條紋還是格子花？"
"Peppermint or spearmint flavor?"	"薄荷還是綠薄荷香？"
"Hey, everybody!! This weird-o just bought a %s5-flavored, %s4, %s3, %s2, %s1 lubber!!!"	"嘿各位！！這怪傢伙剛買個 %s5 香、%s4、%s3、%s2、%s1 潤滑液！！！"
After looking around to make certain you're alone, you quietly ask the clerk if he has any available behind the counter.	確認沒人後，你小聲問店員後面還有沒有貨。
The clerk does not take kindly to your shoplifting. His shotgun makes a permanent impression on you. (And, IN you!)	店員對你的竊盜行為不客氣。他的霰彈槍給你留下永久印象。（更準確是進了你身體！）
"Oakie, doakie Meester!"	"好的，先生！"
smooth	光滑
libbed	粗糙
colored	有色
plain	無色
lubricated	上油
rough-cut	粗糙
striped	條紋
plaid	格子
peppermint	薄荷
spearmint	綠薄荷
He hands you the package, saying "All together, that will be $%v200.00, prease."	他遞你包裹，說："共 $%v200.00，先生。"
Unfortunately, you only have $%v90.00. (Perhaps you can sneak out without paying.)	不幸的是你只有 $%v90.00。（也許你可以偷溜出去不付錢。）
You give him the money, with a pleasant "Thanks a lot, big mouth!"	你給他錢，開心地說："謝啦，大嘴巴！"
"Hey, Meester!!" yells the clerk. "I hope you enjoy your %s5-flavored, %s4, %s3, %s2, %s1 lubber!!!"	"嘿先生！！"店員大喊，"希望你享受那個 %s5 香的、%s4、%s3、%s2、%s1 潤滑液！！！"
The magazines are on the rack nearest the door.	雜誌在最靠近門的架子上。
Nah. That's enough reading material for one game.	算了。一個遊戲看夠了。
"Ooooooh, Meester! Thank you for free money. What wonderful country thees is!!"	"喔喔喔先生！感謝你白給錢。多麼棒的國家啊！！"
"Oakie, doakie Meester! That'll be $%v200.00."	"好的先生！共 $%v200.00。"
"Have a nice day."	"祝你愉快。"
You grab a bottle of cheap wine, and wonder how they can make a profit selling this stuff for only a dollar a gallon!	你拿起一瓶便宜葡萄酒，納悶他們怎麼能以每加侖一塊錢還賺錢。
Not here. This place is too expensive!	不在這裡。這地方太貴了！
A small, discreetly hand-lettered sign says:\n\n"Prophylactics For Sale\n       Ask Clerk"	一個小的、寫得很低調的手寫招牌寫著：\n\n"保險套出售\n       詢問店員"
"Nice turban, Leroy."	"漂亮的頭巾，Leroy。"
"Hey, meester! Come over here, and get your lubber!!"	"嘿先生！過來這邊拿你的潤滑液！！"
He smiles back, pretending to understand.	他回以微笑，假裝聽懂了。
The wine is on the left end of the back wall.	葡萄酒在後牆左端。
That extra large jug of wine looks like a bargain.	那個超大瓶葡萄酒看起來很划算。
There's nothing of interest inside.	裡面沒什麼有趣的。
That is located behind the counter. Ask the clerk.	那東西在櫃檯後面。問店員。
You still have some.	你還有一些。
"Here, Meester," he says. "Thees smells like chur brand!"	"給你先生，"他說，"這聞起來像你的牌子！"
Hmm. That one looks particularly interesting.	嗯。那個看起來特別有趣。
Whew. One of those bottles is about all a guy needs, Larry.	唷。一瓶那種酒差不多就是該死傢伙需要的全部，Larry。
The wall behind the clerk is blank and the counter is completely bare, except for a small sign. (You wonder where he keeps the slim jims.)	店員後面的牆空白，櫃檯除了一個小招牌外啥都沒有。（你想知道他把貨藏哪兒。）
"Sorry, no gottee!"	"對不起，沒存貨！"
"Fposwqa feinnzx. Ofewass gewyiu qfbva."	"Fposwqa feinnzx. Ofewass gewyiu qfbva."
"Poolskd asd woefpo lkjfq feps of foeps."	"Poolskd asd woefpo lkjfq feps of foeps."
"Owf wepa vpifk qpqwf? Qqwpp apifrp qp foiw!"	"Owf wepa vpifk qpqwf? Qqwpp apifrp qp foiw!"
"Tqp nbq bqopni ba ajpqoi fqyq. HA HA HA!!"	"Tqp nbq bqopni ba ajpqoi fqyq. HA HA HA!!"
"Pqwwo qfp qwfnbv qozdvie.  Ppqow poqw fvzxc ioplhjk."	"Pqwwo qfp qwfnbv qozdvie.  Ppqow poqw fvzxc ioplhjk."
"Qufe weax zxo zvp zvqiw vpozcvajpbnv wf, apoz.  Wfipa?"	"Qufe weax zxo zvp zvqiw vpozcvajpbnv wf, apoz.  Wfipa?"
"Zxxz pofqsoo afpoistr zxcv."	"Zxxz pofqsoo afpoistr zxcv."
You are outside an all-night convenience store. There is a telephone on the pole. The portion of the telephone book that wasn't illegible from being water-soaked has been torn out.	你在 24 小時便利店外。有個電話亭在電線桿上。沒被水浸爛的電話簿都被撕掉了。
"Slurp. Thanks, I needed that! See ya 'round!!"	"咕嚕。謝謝，我正需要這個！改天見！！"
"Hello, you have reached the National Hot Line Sex Survey. Please answer the following questions. There may be a wonderful prize waiting for you!!"	"你好，你已連接到全國熱線性調查。請回答下列問題。可能有獎品等著你！！"
"What is the name of your favorite sex partner?"	"你最喜歡的性伴侶叫什麼？"
"What's the best part of your partner's anatomy?"	"你伴侶身上最性感的部位？"
"What do the two of you like to do together?"	"你倆喜歡一起做什麼？"
"What is the best part of your body?"	"你身上最性感的部位？"
"And, finally, name your partner's favorite object."	"最後，說出你伴侶最喜歡的東西。"
"Thanks for participating. Your prize is..."	"感謝參與。你的獎品是…"
            \n\n\n	            \n\n\n
Hum. Looks like they hung up on you. Oh, well. It was probably a bummer prize anyway!	嗯。看起來他們掛你電話了。算了。反正獎品八成很爛！
Where?!	哪裡？！
"Ring."	"鈴。"
"Ring ring."	"鈴聲。"
"Ring ring ring."	"鈴鈴鈴。"
"Ring ring ring ring."	"鈴鈴鈴鈴。"
How long are we going to do this before you type in "answer phone?!"	在你輸入"接電話"前，我們還要鬧多久？
You pick up the telephone, and hear a woman's voice.	你拿起電話，聽到一個女人的聲音。
"Hello, Larry! This is %s6. Why don't you forget this silly game, and come over to my place so we can %s8?"	"你好 Larry！我是 %s6。幹嘛不忘了這無聊遊戲，來我家讓我們 %s8？"
"After all, your %s9 has always turned me on! So bring along a %s10 and come play with my %s7! Bye, now."	"畢竟你的 %s9 總是讓我興奮！所以帶著 %s10 來跟我的 %s7 玩！拜啦。"
You hang up the telephone and wipe the sweat from your hands!	你掛掉電話，擦擦你手上的汗！
There are some numbers scribbled on the side of the telephone. The only thing legible (and printable) is: "555-6969."	電話邊上有潦草的號碼。唯一看得清的（能印的）是："555-6969。"
"Howsha 'bout a drink, Shonney?"	"來杯酒怎麼樣，老兄？"
"Why, thanshk, Shonney!" (Glug, glug.)	"好啊，謝謝啦，老兄！"（咕嚕咕嚕。）
"I ain't got no remote control, but, sssshay, I'll tell ya what: here'ssh my trussshty ol' pocket knife. Ya never know! There are sssshome kinky girlssh in this town. Sssshexy hunkssh like ussh might have to defend oursshelves sometime!"	"我沒遙控器，但聽著，我告訴你：這是我信賴的小刀。你永遠不知道！這鎮上有些怪女孩。像我們這樣的性感傢伙可能得為自己辯護！"
With that, he "sssshtumbles" off into the darkness.	說完他"趔趄"著進入黑暗。
"Got any sshhpare change, buddy?"	"有零錢沒，老兄？"
"Al'right. Be that way!"	"好吧。就這樣吧！"
Cheezzzz! He makes that dog smell refreshing!	"天啊！他讓那條狗聞起來都清新了！"
Please enter number: 	請輸入號碼：
You fish a dollar out of your wallet, and hand it to the bum. "Gossshhh thanssskks, buddy," he says sarcastically. "Maybe now I'll be able to afford that tsshhhousand sssshhares of Broderbund ssstock!"	你從錢包掏出一塊錢給流浪漢。他嘲諷地說："感謝啦，老兄。也許現在我能買得起 Broderbund 公司的一千股了！"
He looks like a man that could (ab)use a drink.	他看起來是個需要（濫用）喝酒的傢伙。
There's nothing to see on this side of the pole.	電線桿這邊沒什麼看的。
The store is open all night for your convenience. That's why they call it an "all-night convenience store," Larry!	店面 24 小時為你方便營業。這就是為什麼他們叫它"24 小時便利店"，Larry！
"Why, thanshk, Shonney! Glug, glug."	"好啊，謝謝啦，老兄！咕嚕咕嚕。"
All you get is a busy signal.	你只聽到忙線。
Try dialing the telephone.	試試撥電話。
What's left is illegible.	剩下的看不清。
Try answering the telephone.	試試接電話。
It's not that easy; you'll have to find the correct telephone number yourself!	沒那麼簡單；你得自己找正確的電話號碼！
Give him the bottle of what?	給他什麼瓶子？
"I'm sorry, but you have reached a number that is disconnected, or no longer in service. Please hang up and dial again."	"對不起，你撥到的號碼已斷線或停止服務。請掛斷並重新撥號。"
"This is a computer."	"這是一台電腦。"
"Hello. Ajax Liquor Store. We deliver!"	"你好。Ajax 酒類商店。我們送貨！"
"So, what do you want to buy?"	"那你想買什麼？"
"Fine. Where do you want it delivered?"	"沒問題。要送到哪兒？"
"Ok. We'll get it right there. Consider it done, and thanks for calling!"	"好。我們會送到那兒。就這樣定了，謝謝你來電！"
"Well, ok. Have ya got any spare wine, then?"	"好吧。那你們有多的葡萄酒嗎？"
You find a strong aroma, which you allow him to keep!	你聞到一股濃烈的香氣，你讓他保留著！
It's not ringing.	沒有鈴聲。
"Hello."	"你好。"
]	]
